"accepted_taxa","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Chondrilla juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrozophora tinctoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysanthemum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysanthemum segetum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysojasminum fruticans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cicer arietinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cichorium","Cichorium intybus","","0",3,"7",51.25,NA,"",1.348571429,"10","Autumn",212.9999073
"Cichorium calvum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cichorium endivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cichorium intybus","Cichorium intybus","","0",3,"7",51.25,NA,"",1.348571429,"10","Autumn",212.9999073
"Cichorium intybus intybus","Cichorium intybus","","0",3,"7",51.25,NA,"",1.348571429,"10","Autumn",212.9999073
"Cicuta virosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Circaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium","Cirsium arvense_Cirsium erisithales_Cirsium oleraceum","4_6","0_1",4,"5_6",85.70607143,NA,"Pd",2.36479532166667,"10_9","Autumn_Late summer",271.7296052
"Cirsium arvense","Cirsium arvense","6","1",5,"5",91.41214286,NA,"Pd",1.437052632,"10","Autumn",216.5592104
"Cirsium arvense alpestre","Cirsium arvense","6","1",5,"5",91.41214286,NA,"Pd",1.437052632,"10","Autumn",216.5592104
"Cirsium arvense arvense","Cirsium arvense","6","1",5,"5",91.41214286,NA,"Pd",1.437052632,"10","Autumn",216.5592104
"Cirsium dissectum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium eriophorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium erisithales","Cirsium erisithales","","0",3,"6",NA,NA,"",3.04,"9","Late summer",NA
"Cirsium ferox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium helenioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium oleraceum","Cirsium oleraceum","4","1",4,"6",80,NA,"",2.617333333,"10","Autumn",326.9
"Cirsium palustre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium spinosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium tuberosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium vulgare crinitum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cirsium vulgare vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cistus albidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cistus monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cistus salviifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cladanthus mixtus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis cirrhosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis flammula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis vitalba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clematis viticella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinopodium","Clinopodium acinos_Clinopodium vulgare","5","1",3.5,"6_7",28.858,NA,"Py",0.43545,"10","Autumn",279.2607784
"Clinopodium acinos","Clinopodium acinos","","",4,"6",20,NA,"Py",0.44,"10","Autumn",NA
"Clinopodium menthifolium menthifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinopodium nepeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinopodium nepeta ascendens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clinopodium vulgare","Clinopodium vulgare","5","1",3,"7",37.716,NA,"",0.4309,"10","Autumn",279.2607784
"Cochlearia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coincya monensis cheiranthos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coincya monensis cheiranthos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colchicum autumnale","Colchicum autumnale","3","1",3,"8",40,NA,"",5.44528,"11","Autumn",21.91
"Coleostephus myconis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina communis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conium maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conopodium majus","Conopodium majus","","0",3,"5",40,NA,"Mpd",2.181333333,"8","Late summer",225
"Conringia orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus","Convolvulus arvensis","5","1",4,"6",36.72857143,NA,"Py",10.73654545,"10","Autumn",275.5222222
"Convolvulus althaeoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus arvensis","Convolvulus arvensis","5","1",4,"6",36.72857143,NA,"Py",10.73654545,"10","Autumn",275.5222222
"Convolvulus cantabrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Convolvulus soldanella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conyza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conyza sumatrensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conyzigeron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coriandrum sativum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coris monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corispermum nitidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus mas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus sanguinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornus sanguinea sanguinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coronilla","Securigera varia","4","1",3,"4",30,NA,"Py",4.0488,"7","Summer",NA
"Coronilla scorpioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coronilla vaginalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coronilla varia","Securigera varia","4","1",3,"4",30,NA,"Py",4.0488,"7","Summer",NA
"Corrigiola litoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corylus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corylus avellana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cosmos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cosmos bipinnatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota altissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota austriaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota tinctoria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cota tinctoria australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crambe hispanica abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crambe hispanica abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassula tillaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crataegus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crataegus kyrtostyla domicensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crataegus laevigata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crataegus monogyna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis","Crepis biennis_Crepis mollis","3","0_1",4,"5_6",59.6875,1,"",0.8738333335,"10_9","Autumn_Late summer",29.9
"Crepis bellidifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis biennis","Crepis biennis","","0",5,"5",72.5,1,"",1.0368,"10","Autumn",29.9
"Crepis bursifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis capillaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis foetida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis foetida foetida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis foetida rhoeadifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis leontodontoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis micrantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis mollis","Crepis mollis","3","1",3,"6",46.875,NA,"",0.710866667,"9","Late summer",NA
"Crepis neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis neglecta corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis pulchra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis pygmaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis rhoeadifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis rubra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis sancta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis sancta nemausensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis setosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis vesicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crepis vesicaria taraxacifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cruciata","Cruciata glabra_Cruciata laevipes","4","1",4,"4",20,NA,"",NA,"8","Late summer",264.9
"Cruciata glabra","Cruciata glabra","","",4,"4",20,NA,"",NA,"8","Late summer",NA
"Cruciata laevipes","Cruciata laevipes","4","1",4,"4",NA,NA,"",NA,"8","Late summer",264.9
"Cucurbita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cucurbita pepo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cullen americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cupressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta campestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta epilinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuscuta monogyna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cydonia oblonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymbalaria muralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynanchica aristata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynanchica pyrenaica cynanchica","Asperula cynanchica","","0",4,"6",40,NA,"",1.0325,"10","Autumn",276.3
"Cynanchum acutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynara cardunculus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynara scolymus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynodon dactylon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynoglossum cheirifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynoglossum creticum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynoglossum officinale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynosurus cristatus","Cynosurus cristatus","3","1",3,"5",46.68,NA,"",0.532145455,"8","Late summer",252.1333333
"Cynosurus echinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus difformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus eragrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus esculentus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus flavidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus fuscus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus longus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus rotundus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cytisus scoparius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dactylis","Dactylis glomerata","4","1",3,"5",59.16361111,NA,"Pd",0.780455,"8","Late summer",239.1227632
"Dactylis glomerata","Dactylis glomerata","4","1",3,"5",59.16361111,NA,"Pd",0.780455,"8","Late summer",239.1227632
"Dactylis glomerata glomerata","Dactylis glomerata","4","1",3,"5",59.16361111,NA,"Pd",0.780455,"8","Late summer",239.1227632
"Dactylis glomerata lobata","Dactylis glomerata","4","1",3,"5",59.16361111,NA,"Pd",0.780455,"8","Late summer",239.1227632
"Dactylis glomerata oceanica","Dactylis glomerata","4","1",3,"5",59.16361111,NA,"Pd",0.780455,"8","Late summer",239.1227632
"Dasypyrum villosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Datura stramonium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daucus","Daucus carota","","0",4,"6",43.82857143,NA,"Md",1.096433333,"10","Autumn",178.9148993
"Daucus carota","Daucus carota","","0",4,"6",43.82857143,NA,"Md",1.096433333,"10","Autumn",178.9148993
"Daucus carota carota","Daucus carota","","0",4,"6",43.82857143,NA,"Md",1.096433333,"10","Autumn",178.9148993
"Daucus crinitus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium ajacis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium consolida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium consolida consolida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium halteratum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinium verdunense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deschampsia cespitosa","Deschampsia cespitosa","4","1",3,"6",87.96363636,NA,"Pd",0.259533333,"9","Late summer",156.8428401
"Deschampsia cespitosa cespitosa","Deschampsia cespitosa","4","1",3,"6",87.96363636,NA,"Pd",0.259533333,"9","Late summer",156.8428401
"Descurainia sophia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dianthus","Dianthus carthusianorum_Dianthus deltoides","5","0_1",4.5,"5_6",28.333333335,1.5,"",0.616553968,"10","Autumn",96.45
"Dianthus armeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dianthus carthusianorum","Dianthus carthusianorum","","0",5,"5",32.5,NA,"",1.048285714,"10","Autumn",178.9
"Dianthus carthusianorum carthusianorum","Dianthus carthusianorum","","0",5,"5",32.5,NA,"",1.048285714,"10","Autumn",178.9
"Dianthus caryophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dianthus deltoides","Dianthus deltoides","5","1",4,"6",24.16666667,1.5,"",0.184822222,"10","Autumn",14
"Digitalis","Digitalis grandiflora","","0",3,"6",NA,NA,"",0.168666667,"9","Late summer",NA
"Digitalis grandiflora","Digitalis grandiflora","","0",3,"6",NA,NA,"",0.168666667,"9","Late summer",NA
"Digitalis purpurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria ischaemum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria sanguinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dimorphotheca sinuata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea communis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis erucoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis muralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis tenuifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis viminea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis virgata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dipsacus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dipsacus fullonum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dipsacus sativus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dittrichia graveolens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dittrichia viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba verna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba verna verna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dryopteris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dryopteris filix-mas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duchesnea indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dysphania ambrosioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecballium elaterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinaria capitata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa colona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa crus-galli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinops ritro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium","Echium vulgare","","0",6,"5",38,NA,"Pd",2.980979167,"11","Autumn",NA
"Echium arenarium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium asperrimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium italicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium plantagineum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium vulgare","Echium vulgare","","0",6,"5",38,NA,"Pd",2.980979167,"11","Autumn",NA
"Elaeagnus angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleusine indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymus","Elymus repens","6","1",3,"5",20,NA,"Pd",2.683875,"8","Late summer",268.3857143
"Elymus caninus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymus pungens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymus pungens campestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymus pungens campestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymus repens","Elymus repens","6","1",3,"5",20,NA,"Pd",2.683875,"8","Late summer",268.3857143
"Elymus trachycaulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia intermedia intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia intermedia trichophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytrigia repens repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium angustifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium ciliatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium collinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium fleischeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium hirsutum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium montanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium obscurum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium palustre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium parviflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium roseum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium tetragonum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium tetragonum lamyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium tetragonum tetragonum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epilobium x intersitum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epipactis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epipactis helleborine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum arvense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum palustre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum pratense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum ramosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum ramosissimum ramosissimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum sylvaticum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum telmateia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis barrelieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis cilianensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis minor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron","Erigeron alpinus","3","1",3,"7",4,NA,"",0.2,"10","Autumn",NA
"Erigeron acer","Erigeron alpinus","3","1",3,"7",4,NA,"",0.2,"10","Autumn",NA
"Erigeron acris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron annuus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron annuus annuus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron bonariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron floribundus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron glabellus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron strigosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron sumatrensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erodium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erodium chium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erodium ciconium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erodium cicutarium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erodium malacoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erodium moschatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eruca vesicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eruca vesicaria sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erucastrum gallicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erucastrum nasturtiifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
