"accepted_taxa","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Flowering_Ecoflora","Root.depth_m_Ecoflora","Root.type_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.color_Biolflor","Flower.pollinator_Biolflor","Flower.sex_Biolflor","Flower.sex.timing_Biolflor","Flower.UV.reflectance_Biolflor","Plant.lifespan_Biolflor","Seed.mass_mg_Biolflor","Seed.length_mm_Biolflor","Strategy_Grime_Biolflor"
"Lonicera","Lonicera periclymenum_Lonicera xylosteum",3.75,"",NA,"",5.2,"Lonicera periclymenum_Lonicera xylosteum","","","","",6.5,NA,7.51033333333333,3.61333333333333,""
"Lonicera periclymenum","Lonicera periclymenum",6,"",NA,"",5.2,"Lonicera periclymenum","","","","",3.5,NA,7.51033333333333,4.22666666666667,""
"Lonicera xylosteum","Lonicera xylosteum",1.5,"",NA,"",5.2,"Lonicera xylosteum","","","","",9.5,NA,NA,3,""
"Lotus","Lotus angustissimus_Lotus corniculatus_Lotus maritimus_Lotus pedunculatus_Lotus subbiflorus",0.373695238095238,"",0.9,"",0.863333333333333,"Lotus alpinus_Lotus corniculatus_Lotus hirsutus_Lotus maritimus_Lotus pedunculatus","","","","",6.5,NA,1.01477777777778,1.49083333333333,""
"Lotus angustissimus","Lotus angustissimus",0.258,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus corniculatus","Lotus corniculatus",0.317142857142857,"",0.9,"",1.32666666666667,"Lotus corniculatus","","","","",3.5,NA,1.28333333333333,1.46,""
"Lotus corniculatus subsp. corniculatus","Lotus corniculatus",0.317142857142857,"",0.9,"",1.32666666666667,"Lotus alpinus","","","","",NA,NA,1.18,NA,""
"Lotus dorycnium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus edulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus hirsutus",NA,NA,NA,NA,NA,NA,"Lotus hirsutus","","","","",NA,NA,NA,1.5,""
"Lotus hispidus","Lotus subbiflorus",0.41,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus maritimus","Lotus maritimus",0.3,"",NA,"",NA,"Lotus maritimus","","","","",3.5,NA,NA,2,""
"Lotus ornithopodioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus parviflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lotus pedunculatus","Lotus pedunculatus",0.583333333333333,"",NA,"",0.4,"Lotus pedunculatus","","","","",12.5,NA,0.581,1.00333333333333,""
"Lotus rectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lunaria","Lunaria annua",0.533333333333333,"",NA,"",NA,"Lunaria annua","","","","",18.5,NA,18.933,7.48333333333333,""
"Lunaria annua","Lunaria annua",0.533333333333333,"",NA,"",NA,"Lunaria annua","","","","",18.5,NA,18.933,7.48333333333333,""
"Lupinus",NA,NA,NA,NA,NA,NA,"Lupinus angustifolius_Lupinus luteus","","","","",NA,NA,148.093666666667,7.025,""
"Lupinus angustifolius",NA,NA,NA,NA,NA,NA,"Lupinus angustifolius","","","","",NA,NA,153.552333333333,7.025,""
"Lupinus luteus",NA,NA,NA,NA,NA,NA,"Lupinus luteus","","","","",NA,NA,142.635,NA,""
"Luzula campestris","Luzula campestris",0.15,"",NA,"",0.64,"Luzula campestris","","","","",NA,NA,0.772,1.60555555555556,""
"Lychnis flos-cuculi","Lychnis flos-cuculi",0.525,"",NA,"",0.15,"Lychnis flos-cuculi","","","","",18.5,NA,0.179333333333333,0.796666666666667,""
"Lycopsis arvensis","Anchusa arvensis",0.166666666666667,"",NA,"",NA,"Anchusa arvensis","","","","",3.5,NA,NA,NA,""
"Lycopus europaeus","Lycopus europaeus",0.65,"",NA,"",NA,"Lycopus europaeus","","","","",11.5,NA,NA,NA,""
"Lysimachia","Anagallis arvensis_Lysimachia nummularia_Lysimachia punctata_Lysimachia vulgaris",0.5675,"",0.3,"",0.4875,"Anagallis arvensis_Anagallis foemina_Lysimachia nummularia_Lysimachia punctata_Lysimachia vulgaris","","","","",18.2,NA,0.3802,1.30866666666667,""
"Lysimachia arvensis","Anagallis arvensis",0.12,"",0.3,"",0.475,"Anagallis arvensis","","","","",28.25,NA,0.365666666666667,1.33666666666667,""
"Lysimachia foemina",NA,NA,NA,NA,NA,NA,"Anagallis foemina","","","","",28.25,NA,0.453333333333333,1.32333333333333,""
"Lysimachia nummularia","Lysimachia nummularia",0.6,"",NA,"",0.5,"Lysimachia nummularia","","","","",11.5,NA,0.5,1.25,""
"Lysimachia punctata","Lysimachia punctata",0.5,"",NA,"",NA,"Lysimachia punctata","","","","",11.5,NA,0.315,1.23666666666667,""
"Lysimachia vulgaris","Lysimachia vulgaris",1.05,"",NA,"",NA,"Lysimachia vulgaris","","","","",11.5,NA,0.267,1.39666666666667,""
"Lythrum","Lythrum hyssopifolia_Lythrum salicaria",0.45,"",NA,"",0.0883333333333333,"Lythrum hyssopifolia_Lythrum salicaria","","","","",39.75,NA,0.0866666666666667,0.931666666666667,""
"Lythrum acutangulum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lythrum borysthenicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lythrum hyssopifolia","Lythrum hyssopifolia",0.1,"",NA,"",0.116666666666667,"Lythrum hyssopifolia","","","","",NA,NA,0.12,0.853333333333333,""
"Lythrum salicaria","Lythrum salicaria",0.8,"",NA,"",0.06,"Lythrum salicaria","","","","",39.75,NA,0.0533333333333333,1.01,""
"Lythrum virgatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malcolmia africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malcolmia littorea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malus","Malus pumila_Malus sylvestris",8,"",NA,"",25.775,"Malus domestica_Malus sylvestris","","","","",11.5,NA,30,6.78166666666667,""
"Malus domestica","Malus pumila",10,"",NA,"",22.2,"Malus domestica","","","","",NA,NA,NA,6.81333333333333,""
"Malus sylvestris","Malus sylvestris",6,"",NA,"",29.35,"Malus sylvestris","","","","",11.5,NA,30,6.75,""
"Malva","Malva arborea_Malva moschata_Malva multiflora_Malva neglecta_Malva sylvestris",0.8,"",0.3,"",1.85535,"Malva alcea_Malva moschata_Malva neglecta_Malva olbia_Malva pusilla_Malva sylvestris","","","","",27.375,NA,1.837,2.01666666666667,""
"Malva alcea",NA,NA,NA,NA,NA,NA,"Malva alcea","","","","",22.5,NA,NA,2.2,""
"Malva arborea","Malva arborea",1.4,"",0.3,"",0.0107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva moschata","Malva moschata",0.55,"",NA,"",NA,"Malva moschata","","","","",32.25,NA,NA,1.87666666666667,""
"Malva multiflora","Malva multiflora",1,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva neglecta","Malva neglecta",0.375,"",NA,"",NA,"Malva neglecta","","","","",22.5,NA,2.15,1.78333333333333,""
"Malva nicaeensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva olbia",NA,NA,NA,NA,NA,NA,"Malva olbia","","","","",NA,NA,NA,2.71666666666667,""
"Malva parviflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva punctata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva pusilla",NA,NA,NA,NA,NA,NA,"Malva pusilla","","","","",NA,NA,NA,1.73333333333333,""
"Malva setigera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malva sylvestris","Malva sylvestris",0.675,"",NA,"",3.7,"Malva sylvestris","","","","",32.25,NA,1.524,1.79,""
"Malva thuringiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mantisalca salmantica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marrubium","Marrubium vulgare",0.45,"",NA,"",0.89,"Marrubium vulgare","","","","",11.5,NA,NA,NA,""
"Marrubium vulgare","Marrubium vulgare",0.45,"",NA,"",0.89,"Marrubium vulgare","","","","",11.5,NA,NA,NA,""
"Matricaria","Matricaria chamomilla_Matricaria discoidea",0.2875,"",NA,"",0.07,"Matricaria chamomilla_Matricaria discoidea","","","","",7.5,NA,NA,NA,""
"Matricaria chamomilla","Matricaria chamomilla",0.375,"",NA,"",0.06,"Matricaria chamomilla","","","","",11.5,NA,NA,NA,""
"Matricaria discoidea","Matricaria discoidea",0.2,"",NA,"",0.08,"Matricaria discoidea","","","","",3.5,NA,NA,NA,""
"Matricaria matricarioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matthiola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago","Medicago arabica_Medicago lupulina_Medicago minima_Medicago polymorpha_Medicago sativa",0.393333333333333,"",1.0125,"",2.1875,"Medicago arabica_Medicago lupulina_Medicago minima_Medicago polymorpha_Medicago varia_x","","","","",3.5,NA,1.45311111111111,2.21555555555556,""
"Medicago arabica","Medicago arabica",0.5,"",NA,"",2.3,"Medicago arabica","","","","",NA,NA,1.62566666666667,2.92666666666667,""
"Medicago ciliaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago disciformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago doliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago laciniata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago lupulina","Medicago lupulina",0.325,"",0.525,"",1.85,"Medicago lupulina","","","","",3.5,NA,1.58366666666667,1.74333333333333,""
"Medicago minima","Medicago minima",0.1,"",1.5,"",0.6,"Medicago minima","","","","",3.5,NA,1.15,1.97666666666667,""
"Medicago monspeliaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago murex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago orbicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago polyceratia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago polymorpha","Medicago polymorpha",0.141666666666667,"",NA,"",4,"Medicago polymorpha","","","","",NA,NA,NA,NA,""
"Medicago praecox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago rigidula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago rugosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago sativa","Medicago sativa",0.9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago sativa nothosubsp. media","Medicago sativa",0.9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago sativa subsp. falcata","Medicago sativa",0.9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago sativa subsp. sativa","Medicago sativa",0.9,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago scutellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago truncatula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago turbinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medicago varia",NA,NA,NA,NA,NA,NA,"Medicago varia_x","","","","",3.5,NA,NA,NA,""
"Melampyrum","Melampyrum arvense",0.4,"",NA,"",18.7,"Melampyrum arvense","","","","",3.5,NA,12.25,4.55333333333333,""
"Melampyrum arvense","Melampyrum arvense",0.4,"",NA,"",18.7,"Melampyrum arvense","","","","",3.5,NA,12.25,4.55333333333333,""
"Melia azedarach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melica ciliata",NA,NA,NA,NA,NA,NA,"Melica ciliata","","","","",NA,NA,NA,NA,""
"Melica ciliata subsp. ciliata",NA,NA,NA,NA,NA,NA,"Melica ciliata_Melica transsilvanica","","","","",NA,NA,NA,NA,""
"Melica ciliata subsp. transsilvanica",NA,NA,NA,NA,NA,NA,"Melica transsilvanica","","","","",NA,NA,NA,NA,""
"Melica uniflora","Melica uniflora",0.4,"",NA,"",2.78,"Melica uniflora","","","","",NA,NA,NA,NA,""
"Melilotus","Trigonella alba_Trigonella altissima_Trigonella officinalis",1.15,"",1.5,"",3.17777777777778,"Melilotus indicus_Trigonella alba_Trigonella altissima_Trigonella officinalis","","","","",15,NA,2.00916666666667,2.08111111111111,""
"Melilotus albus","Trigonella alba",0.9,"",NA,"",2.23333333333333,"Trigonella alba","","","","",11.5,NA,1.91833333333333,2.23,""
"Melilotus altissimus","Trigonella altissima",1.05,"",NA,"",5.1,"Trigonella altissima","","","","",NA,NA,NA,NA,""
"Melilotus indicus",NA,NA,NA,NA,NA,NA,"Melilotus indicus","","","","",NA,NA,NA,1.68333333333333,""
"Melilotus officinalis","Trigonella officinalis",1.5,"",1.5,"",2.2,"Trigonella officinalis","","","","",18.5,NA,2.1,2.33,""
"Melilotus spicatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melilotus sulcatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melissa officinalis",NA,NA,NA,NA,NA,NA,"Melissa officinalis","","","","",NA,NA,NA,NA,""
"Melissa officinalis subsp. officinalis",NA,NA,NA,NA,NA,NA,"Melissa officinalis","","","","",NA,NA,NA,NA,""
"Melittis melissophyllum","Melittis melissophyllum",0.5,"",NA,"",NA,"Melittis melissophyllum","","","","",11.5,NA,NA,NA,""
"Melomphis arabica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mentha","Mentha aquatica_Mentha arvensis_Mentha pulegium_Mentha suaveolens_Mentha villosa_x",0.427083333333333,"",NA,"",0.19,"Mentha aquatica_Mentha arvensis_Mentha longifolia_Mentha piperita_x_Mentha pulegium_Mentha suaveolens_Mentha villosa_x","","","","",11.5,NA,NA,NA,""
"Mentha aquatica","Mentha aquatica",0.525,"",NA,"",0.14,"Mentha aquatica","","","","",11.5,NA,NA,NA,""
"Mentha arvensis","Mentha arvensis",0.266666666666667,"",NA,"",0.36,"Mentha arvensis","","","","",11.5,NA,NA,NA,""
"Mentha longifolia",NA,NA,NA,NA,NA,NA,"Mentha longifolia","","","","",11.5,NA,NA,NA,""
"Mentha pulegium","Mentha pulegium",0.166666666666667,"",NA,"",0.07,"Mentha pulegium","","","","",11.5,NA,NA,NA,""
"Mentha suaveolens","Mentha suaveolens",0.75,"",NA,"",NA,"Mentha suaveolens","","","","",NA,NA,NA,NA,""
"Mentha x piperita",NA,NA,NA,NA,NA,NA,"Mentha piperita_x","","","","",NA,NA,NA,NA,""
"Mentha x villosa","Mentha villosa_x",NA,"",NA,"",NA,"Mentha villosa_x","","","","",NA,NA,NA,NA,""
"Mercurialis","Mercurialis annua_Mercurialis perennis",0.259666666666667,"",0.3,"",2.35,"Mercurialis annua_Mercurialis perennis","","","","",11.5,NA,6.84277777777778,2.44333333333333,""
"Mercurialis annua","Mercurialis annua",0.233333333333333,"",NA,"",2.5,"Mercurialis annua","","","","",11.5,NA,2.28555555555556,1.91,""
"Mercurialis perennis","Mercurialis perennis",0.286,"",0.3,"",2.2,"Mercurialis perennis","","","","",11.5,NA,11.4,2.97666666666667,""
"Mibora minima","Mibora minima",0.085,"",NA,"",0.07,"Mibora minima","","","","",NA,NA,NA,NA,""
"Micromeria graeca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micropyrum tenellum",NA,NA,NA,NA,NA,NA,"Micropyrum tenellum","","","","",NA,NA,NA,NA,""
"Microthlaspi perfoliatum","Noccaea perfoliata",0.15,"",NA,"",NA,"Noccaea perfoliata","","","","",11.5,NA,0.251666666666667,1.29666666666667,""
"Milium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minuartia montana subsp. wiesneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Misopates orontium","Misopates orontium",0.5,"",NA,"",0.18,"Misopates orontium","","","","",3.5,NA,0.137666666666667,1.04333333333333,""
"Moehringia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Molinia caerulea","Molinia caerulea",0.825,"",0.525,"",0.53,"Molinia caerulea","","","","",NA,NA,NA,NA,""
"Montia fontana","Montia fontana",0.26,"",0.05,"",NA,"Montia fontana","","","","",11.5,NA,NA,1.2,""
"Montia fontana subsp. minor","Montia fontana",0.26,"",0.05,"",NA,"Montia fontana","","","","",11.5,NA,NA,1.2,""
"Morus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morus alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morus nigra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muscari","Muscari neglectum",0.175,"",NA,"",NA,"Leopoldia comosa_Muscari botryoides_Muscari neglectum","","","","",18.1666666666667,NA,3.91555555555556,2,""
"Muscari botryoides",NA,NA,NA,NA,NA,NA,"Muscari botryoides","","","","",21.5,NA,3.36666666666667,1.86666666666667,""
"Muscari comosum",NA,NA,NA,NA,NA,NA,"Leopoldia comosa","","","","",11.5,NA,5.68,2.13333333333333,""
"Muscari motelayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muscari neglectum","Muscari neglectum",0.175,"",NA,"",NA,"Muscari neglectum","","","","",21.5,NA,2.7,NA,""
"Muscari racemosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myagrum perfoliatum",NA,NA,NA,NA,NA,NA,"Myagrum perfoliatum","","","","",NA,NA,NA,NA,""
"Myosotis","Myosotis arvensis_Myosotis discolor_Myosotis ramosissima_Myosotis scorpioides",0.354583333333333,"",0.05,"",0.226666666666667,"Myosotis arvensis_Myosotis discolor_Myosotis ramosissima_Myosotis scorpioides_Myosotis stricta","","","","",6.16666666666667,NA,NA,NA,""
"Myosotis arvensis","Myosotis arvensis",0.375,"",NA,"",0.29,"Myosotis arvensis","","","","",7.5,NA,NA,NA,""
"Myosotis corsicana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis discolor","Myosotis discolor",0.3,"",NA,"",NA,"Myosotis discolor","","","","",NA,NA,NA,NA,""
"Myosotis minutiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis ramosissima","Myosotis ramosissima",0.21,"",0.05,"",0.11,"Myosotis ramosissima","","","","",3.5,NA,NA,NA,""
"Myosotis scorpioides","Myosotis scorpioides",0.533333333333333,"",NA,"",0.28,"Myosotis scorpioides","","","","",7.5,NA,NA,NA,""
"Myosotis stricta",NA,NA,NA,NA,NA,NA,"Myosotis stricta","","","","",NA,NA,NA,NA,""
"Myosurus minimus","Myosurus minimus",0.075,"",NA,"",NA,"Myosurus minimus","","","","",11.5,NA,0.150666666666667,0.8,""
"Myrrhis odorata","Myrrhis odorata",1.3,"",NA,"",35.01,"Myrrhis odorata","","","","",3.5,NA,NA,NA,""
"Nardus stricta","Nardus stricta",0.366666666666667,"",0.3,"",0.38,"Nardus stricta","","","","",NA,NA,NA,NA,""
"Nasturtium officinale","Nasturtium officinale",0.893333333333333,"",NA,"",0.19,"Nasturtium officinale","","","","",3.5,NA,0.197666666666667,0.883333333333333,""
"Nelumbo nucifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neottia ovata","Neottia ovata",0.466666666666667,"",NA,"",NA,"Neottia ovata","","","","",11.5,NA,NA,0.6,""
"Nepeta cataria","Nepeta cataria",0.7,"",NA,"",0.44,"Nepeta cataria","","","","",11.5,NA,NA,NA,""
"Nepeta nepetella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neslia paniculata",NA,NA,NA,NA,NA,NA,"Neslia paniculata","","","","",NA,NA,NA,NA,""
"Neslia paniculata subsp. thracica",NA,NA,NA,NA,NA,NA,"Neslia paniculata","","","","",NA,NA,NA,NA,""
"Nicandra physalodes",NA,NA,NA,NA,NA,NA,"Nicandra physalodes","","","","",NA,NA,1.138,1.72666666666667,""
"Nigella arvensis",NA,NA,NA,NA,NA,NA,"Nigella arvensis","","","","",NA,NA,NA,2.13666666666667,""
"Nigella damascena",NA,NA,NA,NA,NA,NA,"Nigella damascena","","","","",3.5,NA,2.833,2.44,""
"Nigella hispanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella hispanica var. hispanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella hispanica var. intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella nigellastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nonea lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nonea pallens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nonea pulla",NA,NA,NA,NA,NA,NA,"Nonea pulla","","","","",3.5,NA,NA,NA,""
"Odontites","Odontites verna",0.5,"",NA,"",0.2,"Odontites luteus_Odontites verna_Odontites vulgaris","","","","",39.75,NA,0.215333333333333,1.62222222222222,""
"Odontites jaubertianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontites luteus subsp. lanceolatus",NA,NA,NA,NA,NA,NA,"Odontites luteus","","","","",NA,NA,0.22,1.61333333333333,""
"Odontites vernus","Odontites verna",0.5,"",NA,"",0.2,"Odontites verna","","","","",39.75,NA,0.207,1.62,""
"Odontites vernus subsp. serotinus","Odontites verna",0.5,"",NA,"",0.2,"Odontites verna","","","","",39.75,NA,0.207,1.62,""
"Odontites vernus subsp. vernus","Odontites verna",0.5,"",NA,"",0.2,"Odontites verna","","","","",39.75,NA,0.207,1.62,""
"Odontites vulgaris subsp. vulgaris",NA,NA,NA,NA,NA,NA,"Odontites vulgaris","","","","",NA,NA,0.219,1.63333333333333,""
"Oenanthe crocata","Oenanthe crocata",1,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenanthe fistulosa","Oenanthe fistulosa",0.55,"",NA,"",NA,"Oenanthe fistulosa","","","","",3.5,NA,NA,NA,""
"Oenanthe pimpinelloides","Oenanthe pimpinelloides",0.65,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenothera","Oenothera biennis_Oenothera glazioviana",0.975,"",NA,"",0.493333333333333,"Oenothera biennis_Oenothera glazioviana","","","","",28.25,NA,0.514833333333333,1.61833333333333,""
"Oenothera biennis","Oenothera biennis",0.9,"",NA,"",0.386666666666667,"Oenothera biennis","","","","",28.25,NA,0.430666666666667,1.7,""
"Oenothera glazioviana","Oenothera glazioviana",1.05,"",NA,"",0.6,"Oenothera glazioviana","","","","",NA,NA,0.599,1.53666666666667,""
"Olea europaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oloptum miliaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Omalotheca sylvatica","Gnaphalium sylvaticum",0.576,"",NA,"",0.03,"Gnaphalium sylvaticum","","","","",3.5,NA,NA,NA,""
"Onobrychis alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onobrychis arenaria",NA,NA,NA,NA,NA,NA,"Onobrychis arenaria","","","","",NA,NA,NA,NA,""
"Onobrychis caput-galli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onobrychis viciifolia","Onobrychis viciifolia",0.35,"",0.9,"",12.5,"Onobrychis viciifolia","","","","",39.75,NA,NA,3.81333333333333,""
"Ononis","Ononis reclinata_Ononis spinosa",0.247,"",1.05,"",3.9,"Ononis natrix_Ononis spinosa","","","","",13,NA,4.00705555555556,2.18666666666667,""
"Ononis natrix",NA,NA,NA,NA,NA,NA,"Ononis natrix","","","","",18.5,NA,2.99633333333333,2,""
"Ononis reclinata","Ononis reclinata",0.044,"",NA,"",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ononis spinosa","Ononis spinosa",0.45,"",1.05,"",7,"Ononis spinosa","","","","",7.5,NA,5.01777777777778,2.37333333333333,""
"Ononis spinosa subsp. procurrens","Ononis spinosa",0.45,"",1.05,"",7,"Ononis spinosa","","","","",7.5,NA,5.01777777777778,2.37333333333333,""
"Ononis viscosa subsp. viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum","Onopordum acanthium",1.475,"",1.5,"",NA,"Onopordum acanthium","","","","",3.5,NA,NA,NA,""
"Onopordum acanthium","Onopordum acanthium",1.475,"",1.5,"",NA,"Onopordum acanthium","","","","",3.5,NA,NA,NA,""
"Onopordum acaulon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum corymbosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum gautieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum illyricum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophioglossum vulgatum","Ophioglossum vulgatum",0.22,"",NA,"",NA,"Ophioglossum vulgatum","","","","",NA,NA,NA,NA,""
"Ophrys apifera","Ophrys apifera",0.33,"",0.05,"",NA,"Ophrys apifera","","","","",NA,NA,NA,NA,""
"Ophrys exaltata","Ophrys sphegodes",0.225,"",NA,"",NA,"Ophrys sphegodes","","","","",7.5,NA,NA,NA,""
"Ophrys insectifera","Ophrys insectifera",0.375,"",NA,"",NA,"Ophrys insectifera","","","","",NA,NA,NA,NA,""
"Orchis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
