"accepted_taxa","original_taxa_YvozValPol","Flower.color_YvozValPol","Flower.class_YvozValPol","Flower.type_YvozValPol","PV.Bees_YvozValPol","PV.Bumblebees_YvozValPol","PV.butterflies_YvozValPol","PV.Hoverflies_YvozValPol","Nectar.quantity_YvozValPol","Pollen.quantity_YvozValPol","Floral.symmetry_YvozValPol","Flower.UV.reflectance.centre_YvozValPol","Flower.UV.reflectanceperiphery_YvozValPol","original_taxa_SPVignes","Flowering.onset_SPVignes","Germination.range_SPVignes","Germination.start_SPVignes","Plant.height_cm_SPVignes","Strategy_Grime_SPVignes","Lifeform_Raunkier_SPVignes","original_taxa_ATVinedivers","Growth.form_ATVinedivers","Strategy.Grime_ATVinedivers","Plant.lifespan_ATVinedivers"
"Melilotus","Melilotus albus_Melilotus officinalis_Trigonella sulcata","White_Yellow","Hymenoptere flowers","Flag blossom, fabaceae type",6.258524988,7.17818483166667,7.43500980466667,1.61401343133333,"Present","Plenty","Zygomorphe",6.16666666666667,18.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melilotus albus","Melilotus albus","White","Hymenoptere flowers","Flag blossom, fabaceae type",7.04,7.86,8.28,1,"Present","Plenty","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melilotus altissimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melilotus indicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melilotus officinalis","Melilotus officinalis","Yellow","Hymenoptere flowers","Flag blossom, fabaceae type",7.34,8.35,7.07,1,"Present","Plenty","Zygomorphe",3.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melilotus spicatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melilotus sulcatus","Trigonella sulcata","Yellow","Hymenoptere flowers","Flag blossom, fabaceae type",4.395574964,5.324554495,6.955029414,2.842040294,"Present","Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melissa officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melissa officinalis subsp. officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melittis melissophyllum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melomphis arabica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mentha","Mentha aquatica_Mentha arvensis_Mentha longifolia_Mentha pulegium_Mentha suaveolens","Pink_Violet","Flowers with totally hidden nectar","Funnel flowers",4.9767497944,5.9407755098,7.7206727788,2.6205858088,"Present","None_Plenty_Present","Actinomorphe_Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Mentha longifolia","H","C","P"
"Mentha aquatica","Mentha aquatica","Pink","Flowers with totally hidden nectar","Funnel flowers",5.123074242,5.76163482,7.632557936,3.860071638,"Present","Present","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mentha arvensis","Mentha arvensis","Pink","Flowers with totally hidden nectar","Funnel flowers",4.734331531,6.139834341,7.637466076,2.526863571,"Present","None","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mentha longifolia","Mentha longifolia","Violet","Flowers with totally hidden nectar","Funnel flowers",4.774016269,6.35931133,7.791772179,2.330011095,"Present","None","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Mentha longifolia","H","C","P"
"Mentha pulegium","Mentha pulegium","Pink","Flowers with totally hidden nectar","Funnel flowers",4.69232693,5.403097058,7.171567703,3.38598274,"Present","Plenty","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mentha suaveolens","Mentha suaveolens","Violet","Flowers with totally hidden nectar","Funnel flowers",5.56,6.04,8.37,1,"Present","None","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mentha x piperita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mentha x villosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mercurialis","Mercurialis annua_Mercurialis perennis","Green","Wind flowers","Not applicable",3.1011376575,2.7714280915,3.54,3.578250061,"None_Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Mercurialis annua","H","R","A"
"Mercurialis annua","Mercurialis annua","Green","Wind flowers","Not applicable",3.18,2.8,3.54,3.97,"None","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Mercurialis annua","H","R","A"
"Mercurialis perennis","Mercurialis perennis","Green","Wind flowers","Not applicable",3.022275315,2.742856183,3.54,3.186500122,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mibora minima","Mibora minima","Green","Wind flowers","Not applicable",1,1,2.458076092,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Mibora minima","G","R","A"
"Micromeria graeca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micropyrum tenellum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microthlaspi perfoliatum","Microthlaspi perfoliatum","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.39,4.11,6.14,5,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Thlaspi perfoliatum","H","Sr","A"
"Milium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Minuartia montana subsp. wiesneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Misopates orontium","Misopates orontium","Pink","Hymenoptere flowers","Lip flowers",4.38,5.26,8.2,1,"Present","Little","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moehringia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Molinia caerulea","Molinia caerulea","Blue","Wind flowers","Not applicable",1,1,3.095888279,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montia fontana","Montia fontana","White","Flowers with open nectar","Disk flowers with nectar open",4.545474781,3.925105838,6.20118248,4.97339976,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montia fontana subsp. minor","Montia fontana","White","Flowers with open nectar","Disk flowers with nectar open",4.545474781,3.925105838,6.20118248,4.97339976,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morus alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morus nigra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muscari","Muscari comosum_Muscari neglectum","Blue_Violet","Bee flowers","Bell shaped flowers",4.5673692655,4.512304263,6.565901518,4.2634705865,"Present","Plenty","Actinomorphe",3.5,16.5,"Muscari comosum_Muscari neglectum","3","6","1",42.5,"S-r","Géophytes à bulbe","Muscari racemosum","H","Csr","P"
"Muscari botryoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muscari comosum","Muscari comosum","Violet","Bee flowers","Bell shaped flowers",4.56238421,4.599969179,6.615639342,4.139535463,"Present","Plenty","Actinomorphe",3.5,11.5,"Muscari comosum","3","6","1",60,"S-r","Géophytes à bulbe",NA,NA,NA,NA
"Muscari motelayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muscari neglectum","Muscari neglectum","Blue","Bee flowers","Bell shaped flowers",4.572354321,4.424639347,6.516163694,4.38740571,"Present","Plenty","Actinomorphe",3.5,21.5,"Muscari neglectum","3","6","1",25,"S-r","Géophytes à bulbe",NA,NA,NA,NA
"Muscari racemosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Muscari racemosum","H","Csr","P"
"Myagrum perfoliatum","Myagrum perfoliatum","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",5.12,1,6.33,5.85,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis","Myosotis arvensis_Myosotis discolor_Myosotis ramosissima_Myosotis stricta","Blue_Yellow","Flowers with totally hidden nectar","Stalk disc flowers, stamina and pistil within tube",4.525926341,4.5848612125,6.18074226575,3.9747079375,"Present","None_Plenty","Actinomorphe",3.5,9.5,NA,NA,NA,NA,NA,NA,NA,"Myosotis arvensis","H","R","A"
"Myosotis arvensis","Myosotis arvensis","Blue","Flowers with totally hidden nectar","Stalk disc flowers, stamina and pistil within tube",4.98,4.66,5.27,4.55,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Myosotis arvensis","H","R","A"
"Myosotis corsicana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis discolor","Myosotis discolor","Yellow","Flowers with totally hidden nectar","Stalk disc flowers, stamina and pistil within tube",4.4623133,4.303402729,6.380616139,4.304534013,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis minutiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis ramosissima","Myosotis ramosissima","Blue","Flowers with totally hidden nectar","Stalk disc flowers, stamina and pistil within tube",4.185648724,4.860812494,6.557009163,2.983836168,"Present","None","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis scorpioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosotis stricta","Myosotis stricta","Blue","Flowers with totally hidden nectar","Stalk disc flowers, stamina and pistil within tube",4.47574334,4.515229627,6.515343761,4.060461569,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myosurus minimus","Myosurus minimus","Green","Flowers with open nectar","Disk flowers with nectar open",1,4.65,6.14,4.65,"None","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myrrhis odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nardus stricta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nasturtium officinale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelumbo nucifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neottia ovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepeta cataria","Nepeta cataria","Violet","Hymenoptere flowers","True lip flowers",4.607197666,6.864796588,7.999734318,1.31515385,"Present","None","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepeta nepetella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neslia paniculata","Neslia paniculata","Yellow","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.67,1,5.85,5.02,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neslia paniculata subsp. thracica","Neslia paniculata subsp. thracica","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",5.244794717,4.287116574,6.817593497,6.027003173,"Present","Present","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicandra physalodes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella arvensis","Nigella arvensis","White","Hymenoptere flowers","Disk flowers with nectar hidden",5.03,4.68,7.63,1,"Present","Little","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella damascena","Nigella damascena","Blue","Hymenoptere flowers","Disk flowers with nectar hidden",6.3,5.88,7.41,1,"Present","Little","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella hispanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella hispanica var. hispanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella hispanica var. intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella nigellastrum","Garidella nigellastrum","White","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.52183335,3.986689106,5.92,4.842545087,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nonea lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nonea pallens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nonea pulla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ochlopoa annua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontites","Odontites vernus","Red","Hymenoptere flowers","True lip flowers",4.253667102,6.256788044,7.433190018,1.330807271,"Present","None","Zygomorphe",3.5,76,NA,NA,NA,NA,NA,NA,NA,"Odontites vernus agg.","H","R","A"
"Odontites jaubertianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontites luteus subsp. lanceolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontites vernus","Odontites vernus","Red","Hymenoptere flowers","True lip flowers",4.253667102,6.256788044,7.433190018,1.330807271,"Present","None","Zygomorphe",3.5,76,NA,NA,NA,NA,NA,NA,NA,"Odontites vernus agg.","H","R","A"
"Odontites vernus salinus","Odontites vernus","Red","Hymenoptere flowers","True lip flowers",4.253667102,6.256788044,7.433190018,1.330807271,"Present","None","Zygomorphe",3.5,76,NA,NA,NA,NA,NA,NA,NA,"Odontites vernus agg.","H","R","A"
"Odontites vernus subsp. serotinus","Odontites vernus","Red","Hymenoptere flowers","True lip flowers",4.253667102,6.256788044,7.433190018,1.330807271,"Present","None","Zygomorphe",3.5,76,NA,NA,NA,NA,NA,NA,NA,"Odontites vernus agg.","H","R","A"
"Odontites vernus subsp. vernus","Odontites vernus","Red","Hymenoptere flowers","True lip flowers",4.253667102,6.256788044,7.433190018,1.330807271,"Present","None","Zygomorphe",3.5,76,NA,NA,NA,NA,NA,NA,NA,"Odontites vernus agg.","H","R","A"
"Oenanthe crocata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenanthe fistulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenanthe pimpinelloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenothera","Oenothera biennis","Yellow","Bee flowers","Stalk disc flowers, stamina and pistil outside tube",5.035571604,4.449136891,6.795325136,5.363039743,"Present","Present","Actinomorphe",3.5,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenothera biennis","Oenothera biennis","Yellow","Bee flowers","Stalk disc flowers, stamina and pistil outside tube",5.035571604,4.449136891,6.795325136,5.363039743,"Present","Present","Actinomorphe",3.5,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenothera glazioviana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olea europaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oloptum miliaceum","Oloptum miliaceum","Green","Wind flowers","Not applicable",1,1,2.458076092,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Omalotheca sylvatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onobrychis alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onobrychis arenaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onobrychis caput-galli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onobrychis viciifolia","Onobrychis viciifolia","Pink","Hymenoptere flowers","Flag blossom, fabaceae type",8.88,9.57,8.82,1,"Present","Plenty","Zygomorphe",3.5,76,NA,NA,NA,NA,NA,NA,NA,"Onobrychis viciifolia","L","Csr","P"
"Ononis","Ononis spinosa_Ononis spinosa subsp. procurrens","Red","Bee flowers","Flag blossom, fabaceae type",4.271262276,5.271182221,6.852040668,2.640584771,"Present","Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ononis natrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ononis reclinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ononis spinosa","Ononis spinosa","Red","Bee flowers","Flag blossom, fabaceae type",4.271262276,5.271182221,6.852040668,2.640584771,"Present","Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ononis spinosa subsp. procurrens","Ononis spinosa subsp. procurrens","Red","Bee flowers","Flag blossom, fabaceae type",4.271262276,5.271182221,6.852040668,2.640584771,"Present","Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ononis viscosa subsp. viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Onopordum acanthium","H","Csr","B"
"Onopordum acanthium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Onopordum acanthium","H","Csr","B"
"Onopordum acaulon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum corymbosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum gautieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Onopordum illyricum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophioglossum vulgatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophrys apifera","Ophrys apifera","Pink","Bee flowers","Lip flowers",4.496268461,4.984743734,6.808690503,3.499377875,"Present","Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophrys exaltata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophrys insectifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Origanum","Origanum vulgare","Purple","Flowers with totally hidden nectar","True lip flowers",5.44,5.89,8.18,5.44,"Present","Plenty","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Oreganum vulgare","H","Csr","P"
"Origanum majorana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Origanum vulgare","Origanum vulgare","Purple","Flowers with totally hidden nectar","True lip flowers",5.44,5.89,8.18,5.44,"Present","Plenty","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Oreganum vulgare","H","Csr","P"
"Origanum vulgare subsp. vulgare","Origanum vulgare","Purple","Flowers with totally hidden nectar","True lip flowers",5.44,5.89,8.18,5.44,"Present","Plenty","Zygomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Oreganum vulgare","H","Csr","P"
"Orlaya","Orlaya grandiflora_Orlaya intermedia","White_Yellow","Flowers with open nectar_Flowers with totally hidden nectar","Disk flowers with nectar open_Flag blossom, fabaceae type",1,5.01,5.895,6.525,"Present","Little_Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orlaya grandiflora","Orlaya grandiflora","White","Flowers with open nectar","Disk flowers with nectar open",1,5.5,6.33,7.11,"Present","Little","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orlaya platycarpos","Orlaya intermedia","Yellow","Flowers with totally hidden nectar","Flag blossom, fabaceae type",1,4.52,5.46,5.94,"Present","Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ornithogalum","Ornithogalum divergens_Ornithogalum umbellatum","White_Yellow","Flowers with partly hidden nectar_Flowers with totally hidden nectar","Disk flowers with nectar hidden_Disk flowers with nectar hidden nectaries at base of stamens",4.420254236,3.79057012,6.048991211,4.874678109,"None_Present","Little_Plenty","Actinomorphe",39.75,43.75,"Ornithogalum umbellatum","4","Na","Na",30,"C - r","Géophytes à bulbe","Ornithogalum umbellatum","H","Sr","P"
"Ornithogalum divergens","Ornithogalum divergens","Yellow","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.532118212,3.935376401,6.199717326,4.931106782,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ornithogalum kochii subsp. monticola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ornithogalum umbellatum","Ornithogalum umbellatum","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden",4.30839026,3.645763839,5.898265096,4.818249436,"None","Little","Actinomorphe",76,76,"Ornithogalum umbellatum","4","Na","Na",30,"C - r","Géophytes à bulbe","Ornithogalum umbellatum","H","Sr","P"
"Ornithopus","Ornithopus compressus_Ornithopus perpusillus","White_Yellow","Hymenoptere flowers","Flag blossom, fabaceae type",4.5222531335,5.507081388,7.136839396,2.882018644,"Present","Little_Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ornithopus compressus","Ornithopus compressus","Yellow","Hymenoptere flowers","Flag blossom, fabaceae type",4.403165876,5.344839918,6.971531121,2.832376303,"Present","Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ornithopus perpusillus","Ornithopus perpusillus","White","Hymenoptere flowers","Flag blossom, fabaceae type",4.641340391,5.669322858,7.302147671,2.931660985,"Present","Little","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ornithopus sativus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orobanche","Orobanche crenata","White","Hymenoptere flowers","Flag blossom, fabaceae type",4.390521115,5.375527438,6.982719048,2.765291444,"Present","Plenty","Zygomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orobanche amethystea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
