"accepted_taxa","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Fruit.colour_GIFT","Growth.form_1_GIFT","Growth.form_2_GIFT","Inflorescence_GIFT","Leaf.length_cm_GIFT","Leaf.area_cm2_GIFT","Leaf.width_cm_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Plant.height_min_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT"
"Ipomoea alba","Ipomoea alba","","","White",1.5,0.7,NA,NA,"","Herb","Forb","",NA,NA,9,"Perennial","C3",6,10,NA,"","","",NA,NA
"Ipomoea aquatica","Ipomoea aquatica","","","",NA,NA,NA,NA,"","Herb","Forb","",10.25,NA,4.7,"","C3",3,0.5,0,"Biotic","Insect","",0.0435,NA
"Ipomoea arachnosperma","Ipomoea arachnosperma","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",0.018,NA
"Ipomoea argentaurata","Ipomoea argentaurata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.01235,NA
"Ipomoea asarifolia","Ipomoea asarifolia","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.07745,NA
"Ipomoea batatas","Ipomoea batatas","Unspecialized","Anthropochorous","",7,0.3,5,3,"","Herb","Forb","",8.5,NA,NA,"Perennial","C3",4,1,NA,"","","",NA,NA
"Ipomoea bolusiana","Ipomoea bolusiana","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",NA,NA
"Ipomoea cairica","Ipomoea cairica","Autochorous","","Violet",6,4.5,8,NA,"Brown","Herb","Forb","",4.5,NA,NA,"Perennial","C3",NA,2.5,NA,"","","",NA,NA
"Ipomoea carnea fistulosa","Ipomoea carnea","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",3,NA,0.5,"","","",0.0792,NA
"Ipomoea coptica","Ipomoea coptica","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C3",1,NA,0,"","","",0.00762,NA
"Ipomoea eriocarpa","Ipomoea eriocarpa","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","Herb","",6,NA,2.5,"Annual","C3",2,1.25,0,"","","",0.0081625,NA
"Ipomoea hederifolia","Ipomoea hederifolia","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",NA,NA,NA,"","","",NA,NA
"Ipomoea heterotricha","Ipomoea heterotricha","","","",NA,NA,NA,NA,"","","Herb","",NA,NA,NA,"Annual","C3",NA,NA,NA,"","","",NA,NA
"Ipomoea indica","Ipomoea indica","Unspecialized","","",NA,NA,8,6,"","Herb","Forb","",NA,NA,10.5,"Perennial","C3",10,6,NA,"Biotic","Insect","",0.03,NA
"Ipomoea involucrata","Ipomoea involucrata","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","C3",NA,0.8,NA,"","","",0.0185,NA
"Ipomoea mauritiana","Ipomoea mauritiana","","","",NA,NA,NA,NA,"","","Herb","",NA,NA,NA,"Perennial","C3",NA,10,NA,"","","",0.04753,NA
"Ipomoea muricata","Ipomoea muricata","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",5,NA,3,"","","",0.080615,NA
"Ipomoea nil","Ipomoea nil","","","",NA,NA,NA,NA,"","","Forb","",NA,NA,NA,"Annual","C3",10,5,1,"","","",0.040365,NA
"Ipomoea obscura","Ipomoea obscura","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","Forb","",5,NA,4.8,"Perennial","C3",3,2,NA,"","","",0.031655,NA
"Ipomoea ochracea","Ipomoea ochracea","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",NA,NA
"Ipomoea pes-caprae","Ipomoea pes-caprae","Hydrochorous","Hydrochorous","",6,3,8,5,"","Herb","","",6.25,NA,NA,"Perennial","C3",30,0.25,0,"","","",0.0698575,NA
"Ipomoea pes-tigridis","Ipomoea pes-tigridis","","","",NA,NA,NA,NA,"","Herb","Herb","",6,NA,NA,"Annual","C3",NA,2,NA,"","","",0.0161,NA
"Ipomoea purpurea","Ipomoea purpurea","Unspecialized","","",5,4,NA,NA,"","Herb","Forb","",NA,NA,8,"Annual","C3",2.5,NA,0.5,"","","",0.030205,NA
"Ipomoea pyrophila","Ipomoea pyrophila","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Ipomoea quamoclit","Ipomoea quamoclit","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",5,NA,0.5,"","","",0.0224,NA
"Ipomoea sagittifolia","Ipomoea sagittifolia","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",2.5,0.6,NA,"","","",NA,NA
"Ipomoea setifera","Ipomoea setifera","","","",NA,NA,NA,NA,"","","Forb","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",NA,NA
"Ipomoea staphylina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ipomoea tiliacea","Ipomoea tiliacea","Hydrochorous","","",0.16,0.1,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",NA,NA
"Ipomoea triloba","Ipomoea triloba","","","",NA,NA,NA,NA,"","Herb","Forb","",4.75,NA,NA,"","C3",0.5,1,0,"","","",0.012575,NA
"Ipomoea vagans","Ipomoea vagans","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",NA,NA
"Isachne","Isachne kiyalaensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",0.45,NA,NA,"","","",NA,NA
"Isachne kiyalaensis","Isachne kiyalaensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",0.45,NA,NA,"","","",NA,NA
"Ischaemum afrum","Ischaemum afrum","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","C4",2,NA,0.6,"","","",0.00253,NA
"Ischaemum koleostachys","Ischaemum koleostachys","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Ischaemum rugosum","Ischaemum rugosum","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","",1,NA,0.5,"","","",0.0007725,NA
"Isolepis fluitans","Isolepis fluitans","Zoochorous","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,0.139,0.5,"Perennial","C3",1.05,0.025,0.05,"Abiotic","Wind","Wind",0.000745666666666667,439.5
"Isolona campanulata","Isolona campanulata","","","",NA,NA,NA,NA,"","","Tree","",NA,NA,NA,"","",15.24018532,NA,3.657644477,"","","",NA,NA
"Isolona cooperi","Isolona cooperi","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"","",3.657644477,NA,NA,"","","",NA,NA
"Jacquemontia","Jacquemontia tamnifolia","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",NA,2.5,NA,"","","",0.004350833,NA
"Jacquemontia tamnifolia","Jacquemontia tamnifolia","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",NA,2.5,NA,"","","",0.004350833,NA
"Jasminum pauciflorum","Jasminum pauciflorum","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",NA,6,4.5,"","","",NA,NA
"Jatropha curcas","Jatropha curcas","","","",NA,NA,NA,NA,"","","","",12.5,NA,NA,"Perennial","",15,3,0.5,"Biotic","Insect","Insect",0.530986667,NA
"Jatropha gossypiifolia","Jatropha gossypiifolia","Zoochorous","","",NA,NA,NA,NA,"","Shrub","","",NA,NA,NA,"Perennial","C3",5,1.5,0.5,"Biotic","Insect","",0.04604,NA
"Juncus effusus","Juncus effusus","Zoochorous","","",0.25,0.15,NA,NA,"","Herb","","",NA,35.145,0.3,"Perennial","C3",1.5,1.26666666666667,0.2,"Abiotic","Wind","Wind",0.000698070833333333,109.36
"Justicia anselliana","Justicia anselliana","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.609607413,0.45,0.1,"","","",NA,NA
"Justicia flava","Justicia flava","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",1.219214826,0.85,0.1,"Biotic","Insect","",NA,NA
"Justicia ladanoides","Justicia ladanoides","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.6,2,0.1,"Biotic","Insect","Insect",NA,NA
"Kalanchoe crenata","Kalanchoe crenata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","Cam",1.828822238,2,0.3,"","","",4e-05,NA
"Kallstroemia pubescens","Kallstroemia pubescens","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C4",NA,NA,NA,"","","",NA,NA
"Keetia leucantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Khaya senegalensis","Khaya senegalensis","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",30.48037064,25,NA,"","","",0.23654875,NA
"Kohautia grandiflora","Kohautia grandiflora","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",NA,0.304803706,NA,"","","",1.5e-05,NA
"Kohautia tenuis","Kohautia tenuis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.914411119,NA,0.1,"","","",3e-05,NA
"Lablab purpureus","Lablab purpureus","","","",NA,NA,NA,NA,"","Herb","","Raceme",NA,NA,NA,"Perennial","C3",5,2.1,0.2,"Biotic","Insect","Insect",0.2050664285,NA
"Laccosperma secundiflorum","Laccosperma secundiflorum","Zoochorous","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"","C3",NA,28.49345688,NA,"","","",NA,NA
"Lactuca indica","Lactuca indica","","","",NA,NA,NA,NA,"","Herb","Herb","",19.75,NA,6.625,"","C3",4,1.13333333333333,0.6,"Biotic","Insect","Insect",0.00085,NA
"Lagenaria breviflora","Lagenaria breviflora","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,6,NA,"","","",0.04173,NA
"Lagenaria guineensis","Lagenaria guineensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Laggera alata","Laggera alata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,4.75,"Perennial","C3",3.048037064,NA,NA,"","","",4e-05,NA
"Laggera crispata","Laggera crispata","","","",NA,NA,NA,NA,"","Herb","Herb","",8.125,NA,2.375,"Perennial","",2,NA,0.3,"","","",7.67e-05,NA
"Laggera gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamium amplexicaule","Lamium amplexicaule","","","",2,1.3,NA,NA,"","Herb","","",NA,1.67,1.3,"Annual","C3",0.4,0.1415,0.04,"Biotic","Insect","",0.000578625,197
"Landolphia hirsuta","Landolphia hirsuta","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"","",18.28822238,20,NA,"","","",NA,NA
"Lannea nigritana","Lannea nigritana","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",13.71616679,12,NA,"","","",NA,NA
"Lantana camara","Lantana camara","Zoochorous","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,4.3,"Perennial","C3",3,2.06,0.5,"Biotic","Insect","",0.0160135,NA
"Lantana rugosa","Lantana rugosa","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",1,1,NA,"","","",0.0069,NA
"Lantana trifolia","Lantana trifolia","Zoochorous","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",1.828822238,2.75,0.9,"Biotic","Insect","Bee",NA,NA
"Laportea aestuans","Laportea aestuans","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","C3",1.524018532,1,0.304803706,"","","",NA,NA
"Lapsana communis","Lapsana communis","","","Yellow",0.7,NA,NA,NA,"","Herb","","Panicle",NA,49.66,5.5,"Annual","C3",1.8,0.54,0.1,"Biotic","Insect","",0.000944666666666667,487.33
"Lasimorpha senegalensis","Lasimorpha senegalensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,1.5,NA,"","","",NA,NA
"Launaea","Launaea cornuta_Launaea nana_Launaea rarifolia_Launaea taraxacifolia","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",2.658298789,0.72435720288889,0.3548037065,"Biotic","Insect","Insect",NA,NA
"Launaea cornuta","Launaea cornuta","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,1.07307160866667,NA,"Biotic","Insect","Insect",NA,NA
"Launaea nana","Launaea nana","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",0.05,0.1,NA,"","","",NA,NA
"Launaea rarifolia","Launaea rarifolia","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",6.705681541,NA,0.1,"","","",NA,NA
"Launaea taraxacifolia","Launaea taraxacifolia","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",1.219214826,1,0.609607413,"","","",NA,NA
"Lavandula angustifolia","Lavandula angustifolia","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",1,0.3,0.2,"","","",0.00107333333333333,208
"Lecaniodiscus cupanioides","Lecaniodiscus cupanioides","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","",15,10,1.524018532,"","","",NA,NA
"Ledebouria sudanica","Ledebouria sudanica","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Leersia hexandra","Leersia hexandra","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",1.5,NA,0.3,"","","",0.00093,NA
"Lemna","Lemna aequinoctialis_Lemna minor","Zoochorous","","",NA,NA,NA,NA,"","Herb","Forb","",0.325,0.09,0.25,"Perennial","C3",0.01,0.007,NA,"Biotic","Insect","",0,187
"Lemna aequinoctialis","Lemna aequinoctialis","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",NA,NA
"Lemna minor","Lemna minor","Zoochorous","","",NA,NA,NA,NA,"","Herb","Forb","",0.325,0.09,0.25,"Perennial","C3",0.01,0.007,NA,"Biotic","Insect","",0,187
"Leonotis","Leonotis nepetifolia","Unspecialized","Unspecialized","Orange",2.5,NA,NA,NA,"Brown","Herb","","",NA,NA,6,"Annual","C3",3,1.75,0.6,"Biotic","","",0.001858,NA
"Leonotis nepetifolia","Leonotis nepetifolia","Unspecialized","Unspecialized","Orange",2.5,NA,NA,NA,"Brown","Herb","","",NA,NA,6,"Annual","C3",3,1.75,0.6,"Biotic","","",0.001858,NA
"Leonurus sibiricus","Leonurus sibiricus","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"","C3",1.5,NA,0.3,"","","",0.0012,NA
"Lepidagathis alopecuroidea","Lepidagathis alopecuroidea","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,0.3,NA,"","","",NA,NA
"Lepidium africanum","Lepidium africanum","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,1.5,"","C3",1,0.5,0.1,"Biotic","Insect","Insect",0.00023,NA
"Lepidium bonariense","Lepidium bonariense","Unspecialized","Unspecialized","",0.08,0.05,NA,NA,"","Herb","","",NA,NA,2.5,"Annual","C3",0.9,0.32,0.1,"Biotic","Insect","",2e-04,NA
"Lepidium didymum","Lepidium didymum","Zoochorous","","",0.08,0.06,NA,NA,"","Herb","","Raceme",NA,1.5896,1.7,"","C3",0.6,0.22425,0.05,"Biotic","Insect","Insect",0.000503857,351.57
"Lepistemon owariensis","Lepistemon owariensis","","","",NA,NA,NA,NA,"","","Herb","",NA,NA,NA,"Perennial","C3",NA,2.5,NA,"","","",0.04858,NA
"Leptactina densiflora","Leptactina densiflora","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Leptadenia lanceolata lanceolata","Leptadenia lanceolata","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",0.00403,NA
"Leptadenia madagascariensis","Leptadenia madagascariensis","","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,NA,"","","",0.00466,NA
"Leptadenia pyrotechnica","Leptadenia pyrotechnica","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","",1.828822238,2,0.914411119,"","","",0.00477,NA
"Leptocarydion vulpiastrum","Leptocarydion vulpiastrum","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Annual","C4",1.07,NA,NA,"","","",NA,NA
"Leptochloa","Leptochloa chinensis_Leptochloa scabra_Leptochloa virgata","Hydrochorous","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"Perennial","C4",1,1,NA,"","","",NA,NA
"Leptochloa caerulescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptochloa chinensis","Leptochloa chinensis","","","",NA,NA,NA,NA,"","Herb","Graminoid","",NA,NA,NA,"","C4",1,1,NA,"","","",NA,NA
"Leptochloa scabra","Leptochloa scabra","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Leptochloa virgata","Leptochloa virgata","Hydrochorous","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Leptoderris ledermannii","Leptoderris ledermannii","","","",NA,NA,NA,NA,"","","Shrub","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Leptoderris miegei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leptothrium senegalense","Leptothrium senegalense","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C4",NA,0.5,NA,"","","",0.00195,NA
"Lepturus radicans","Lepturus radicans","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","C4",NA,NA,NA,"","","",NA,NA
"Leucaena leucocephala","Leucaena leucocephala","Autochorous","","White",NA,NA,NA,NA,"Brown","Tree","","",NA,NA,NA,"Perennial","C3",15,8.72,1,"","","",0.0446099078571429,306.98
"Leucas lavandulifolia","Leucas lavandulifolia","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",1,NA,0.6,"","","",0.00132,NA
"Leucas martinicensis","Leucas martinicensis","Unspecialized","Unspecialized","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","",1.828822238,0.866666666666667,0.15,"","","",0.000415,NA
"Lindernia","Lindernia rotundifolia","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",NA,NA
"Lindernia rotundifolia","Lindernia rotundifolia","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",NA,NA
"Linzia ituriensis","Linzia ituriensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",1.219214826,2,0.609607413,"","","",NA,NA
"Lipotriche scandens","Lipotriche scandens","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","",1.29,1,NA,"","","",NA,NA
"Lippia","Lippia chevalieri_Lippia multiflora","","","",NA,NA,NA,NA,"","Shrub","Shrub_Subshrub","",NA,NA,NA,"Perennial","C3",2.286027798,2.5,NA,"","","",0.000365,NA
"Lippia chevalieri","Lippia chevalieri","","","",NA,NA,NA,NA,"","Shrub","Subshrub","",NA,NA,NA,"Perennial","",0.914411119,NA,NA,"","","",0.00046,NA
"Lippia multiflora","Lippia multiflora","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",3.657644477,2.5,NA,"","","",0.00027,NA
"Litsea glutinosa","Litsea glutinosa","Zoochorous","","",NA,NA,NA,NA,"","Tree","Tree","",8.25,NA,8,"Perennial","C3",15,12,1,"","","",0.146,NA
"Litsea monopetala","Litsea monopetala","","","",NA,NA,NA,NA,"","Tree","Tree","",14,NA,NA,"Perennial","C3",18,16.5,NA,"","","",0.18868,136.2271103
"Lobelia cliffortiana","Lobelia cliffortiana","","","",NA,NA,NA,NA,"","","Forb","",NA,NA,NA,"Annual","",NA,NA,NA,"","","",NA,NA
"Lolium perenne","Lolium perenne","","","",0.9,0.4,NA,NA,"","Herb","","Spike",NA,4.02,0.3,"Perennial","C3",0.9,0.541666666666667,0.08,"Abiotic","Wind","Wind",0.0019687975,256.68
"Lonchocarpus sericeus","Lonchocarpus sericeus","Unspecialized","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",30,12,NA,"","","",0.18,NA
"Lonicera confusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lophira lanceolata","Lophira lanceolata","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",12.19214826,15.5,NA,"","","",0.84151,NA
"Lotononis rostrata","Lotononis rostrata","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",0.4,NA,NA,"","","",NA,NA
"Lotus arabicus","Lotus arabicus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C3",0.6,NA,NA,"","","",0.001525,NA
"Loudetia togoensis","Loudetia togoensis","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","",1,NA,NA,"","","",0.00327,NA
"Ludwigia","Ludwigia abyssinica_Ludwigia adscendens_Ludwigia decurrens_Ludwigia erecta_Ludwigia hyssopifolia_Ludwigia leptocarpa_Ludwigia octovalvis_Ludwigia stenorraphe","Anemochorous_Autochorous","Anemochorous_Autochorous","Yellow",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual_Perennial","C3",2.87086773257143,1.58333333333333,0.382058731285714,"","","",0.000134420619047619,NA
"Ludwigia abyssinica","Ludwigia abyssinica","Anemochorous","Anemochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",3.048037064,2.16666666666667,0.6,"","","",NA,NA
"Ludwigia adscendens diffusa","Ludwigia adscendens","Autochorous","Autochorous","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",1,0.6,0,"","","",0.000515,NA
"Ludwigia decurrens","Ludwigia decurrens","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",NA,1.4,NA,"","","",2e-05,NA
"Ludwigia erecta","Ludwigia erecta","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",3,2,0.02,"","","",7.5e-05,NA
"Ludwigia hyssopifolia","Ludwigia hyssopifolia","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Annual","C3",3,1.5,0.2,"","","",0.00012,NA
"Ludwigia leptocarpa","Ludwigia leptocarpa","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",3,1.5,0.91,"","","",6e-05,NA
"Ludwigia octovalvis","Ludwigia octovalvis","","","Yellow",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",4,3,0.03,"","","",9.09443333333333e-05,NA
"Ludwigia stenorraphe","Ludwigia stenorraphe","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",3.048037064,0.5,0.914411119,"","","",6e-05,NA
"Luffa aegyptiaca","Luffa aegyptiaca","","","",NA,NA,NA,NA,"","Herb","Forb","",NA,NA,NA,"Annual","C3",NA,15,NA,"Biotic","Insect","Insect",0.089023333,NA
"Luziola subintegra","Luziola subintegra","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","",NA,NA,NA,"","","",NA,NA
"Luzula campestris","Luzula campestris","Zoochorous","","",NA,NA,NA,NA,"","Herb","","",NA,0.73,0.2,"Perennial","C3",0.3,0.27,0.05,"Abiotic","Wind","Wind",0.000634904666666667,229.73
"Lygodium flexuosum","Lygodium flexuosum","","","",NA,NA,NA,NA,"","Herb","Other","",NA,NA,NA,"Perennial","",5,10,0,"","","",NA,NA
"Lysimachia arvensis arvensis","Lysimachia arvensis","","","",0.7,0.5,1.2,0.4,"","Herb","","",12.5,1.04,0.75,"Annual","C3",0.5,0.183,0.02,"Biotic","Insect","Insect",0.0005318334,293.2
"Lysimachia foemina","Lysimachia foemina","","","",0.5,0.4,NA,NA,"","Herb","Herb","",NA,2.405,NA,"Annual","C3",0.3,0.142,0.05,"Biotic","Insect","",0.000488833333333333,283.5
"Macropsychanthus comosus","Macropsychanthus comosus","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","C3",NA,15,NA,"","","",4.013,NA
"Macroptilium","Macroptilium atropurpureum_Macroptilium lathyroides_Macroptilium longepedunculatum","Unspecialized","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"Perennial","C3",3.5,1.2,0.15,"","","",0.01035416675,NA
"Macroptilium atropurpureum","Macroptilium atropurpureum","Unspecialized","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Perennial","C3",5,1.2,0,"","","",0.0136783335,NA
"Macroptilium lathyroides","Macroptilium lathyroides","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"","C3",2,NA,0.3,"","","",0.00703,NA
"Macroptilium longepedunculatum","Macroptilium longepedunculatum","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",NA,NA,NA,"","","",NA,NA
"Macrotyloma biflorum biflorum","Macrotyloma biflorum","","","",NA,NA,NA,NA,"","Herb","Subshrub","",NA,NA,NA,"Perennial","C3",1.219214826,NA,0.914411119,"","","",0.1555,NA
"Maesobotrya barteri","Maesobotrya barteri","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"","",9.144111192,NA,NA,"","","",NA,NA
"Malacantha alnifolia","Malacantha alnifolia","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",NA,21.6666666666667,NA,"","","",0.34966,NA
