"accepted_taxa","original_taxa_Baseflor","Habitat_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Growth.form_Baseflor","Fruit.type_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","Sexuality_Baseflor"
"Digitaria ciliaris","Digitaria ciliaris","Annuelles commensales des cultures sarclées acidophiles, mésohydriques, des sols sableux","Cosmopolite(thermo)","Rose","Barochore","","Thérophytaie","Caryopse","Ombelle simple d'épis","Anémogame","Hermaphrodite"
"Digitaria delicatula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria diagonalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria eriantha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria fuscescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria gayana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria horizontalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria humbertii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria insularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria longiflora","Digitaria longiflora","Annuelles commensales des cultures sarclées acidophiles, mésohydriques, des sols sableux","Cosmopolite(thermo)","Rose","Barochore","","Thérophytaie","Caryopse","Ombelle simple d'épis","Anémogame","Hermaphrodite"
"Digitaria radicosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria sanguinalis","Digitaria sanguinalis","Annuelles commensales des cultures sarclées acidophiles, mésohydriques, des sols sableux","Cosmopolite(thermo)","Rose","Barochore","7-10","Thérophytaie","Caryopse","Ombelle simple d'épis","Anémogame","Hermaphrodite"
"Dimetia capitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dinebra perrieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dinebra retroflexa","Dinebra retroflexa","Annuelles commensales des cultures sarclées acidophiles, mésohydriques, des sols sableux","Cosmopolite(thermo)","","","","Thérophytaie","","","",""
"Diodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diodia rubricosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea alata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea antaly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea bulbifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea cayenensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea dumetorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea minutiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea praehensilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea preussii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea quartiniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea sagittifolia lecardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea smilacifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea togoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscoreophyllum volkensii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diospyros mespiliformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diospyros monbuttensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplachne fusca","Diplachne fusca","Annuelles commensales des cultures sarclées basophiles","Introduit (amér. du nord)","","","","Thérophytaie","","","",""
"Diplotaxis tenuifolia","Diplotaxis tenuifolia","Friches vivaces rudérales pionnières, mésoxérophiles à mésohydriques, médio-européennes","Européen méridional","Jaune","Anémochore","5-9","Hémicryptophytaie","Silique","Racème simple","Entomogame","Hermaphrodite"
"Discoglypremna caloneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dissotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dissotis grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distemonanthus benthamianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake aegyptius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake cissoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake dissectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake kentrocaulos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake quinquefolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dolichandra unguis-cati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dracaena mannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drimia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drymaria cordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dysphania ambrosioides","Dysphania ambrosioides","Friches annuelles, nitrophiles, thermophiles, estivales, mésohydriques","Introduit (amér. tropicale)","Vert","Barochore","7-11","Thérophytaie","Akène","Épi de cymes triflores","Anémogame","Hermaphrodite"
"Echinochloa callopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa colonum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa crus-galli","Echinochloa crus-galli","Friches annuelles hygrophiles à hydrophiles, eutrophiles, pionnières, eurasiatiques","Cosmopolite(thermo)","Vert, rose","Épizoochore","7-10","Thérophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Echinochloa crus-pavonis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa obtusiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa polystachya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa pyramidalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa stagnina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinops mildbraedii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eclipta prostrata","Eclipta prostrata","Friches annuelles hygrophiles à hydrophiles, eutrophiles, pionnières, eurasiatiques","Subtropical","","","","Thérophytaie","","","",""
"Ehretia cymosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ehretia trachyphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elaeis guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis complanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis filiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephantopus mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephantopus scaber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleusine indica","Eleusine indica","Annuelles eutrophiles des tonsures surpiétinées, méditerranéennes","Introduit (asie)","Blanc","Barochore","7-10","Thérophytaie","Caryopse","Racème d'épis","Anémogame","Hermaphrodite"
"Eleutheranthera ruderalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymandra androphila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytraria marginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytraria maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia coccinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia fosbergii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia praetermissa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia sonchifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enneapogon cenchroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Entada africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enteropogon prieurii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum","Equisetum ramosissimum","Prairies hygrophiles, thermophiles, mésoméditerranéennes","Cosmopolite","","Anémochore","5-8","Hémicryptophytaie","","","Hydrogame","Monoïque"
"Equisetum ramosissimum","Equisetum ramosissimum","Prairies hygrophiles, thermophiles, mésoméditerranéennes","Cosmopolite","","Anémochore","5-8","Hémicryptophytaie","","","Hydrogame","Monoïque"
"Eragrostis aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis atrovirens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis cilianensis","Eragrostis cilianensis","Annuelles commensales des cultures sarclées basophiles","Cosmopolite(thermo)","Vert","Anémochore","6-10","Thérophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Eragrostis ciliaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis gangetica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis macilenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis minor","Eragrostis minor","Annuelles commensales des cultures sarclées basophiles","Circumboréal","Vert","Anémochore","6-10","Thérophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Eragrostis pilosa","Eragrostis pilosa","Annuelles commensales des cultures sarclées basophiles","Cosmopolite(thermo)","Vert","Anémochore","7-10","Thérophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Eragrostis squamata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis tenella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis tenuifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis tremula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis turgida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis unioloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erechtites hieraciifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erechtites valerianifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erica galioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron bonariensis","Erigeron bonariensis","Friches annuelles médio-européennes, subnitrophiles à nitrophiles","Introduit (amér. tropicale)","Blanc, jaune","Anémochore","7-9","Thérophytaie","Akène","Racème de capitules","Entomogame","Hermaphrodite"
"Erigeron floribundus","Erigeron floribundus","Friches annuelles médio-européennes, subnitrophiles à nitrophiles","Introduit (amér. du sud)","","Anémochore","","Thérophytaie","Akène","Racème de capitules","Entomogame","Hermaphrodite"
"Erigeron karvinskianus","Erigeron karvinskianus","Chasmophytes de parois européennes et murs eutrophiles","Introduit (amér. tropicale)","","Anémochore","","Hémicryptophytaie","Akène","Racème de capitules","Entomogame, autogame","Hermaphrodite"
"Erigeron sumatrensis","Erigeron sumatrensis","Friches annuelles médio-européennes, subnitrophiles à nitrophiles","Introduit (asie)","Blanc, jaune","Anémochore","8-9","Thérophytaie","Akène","Racème de capitules","Entomogame","Hermaphrodite"
"Eriochloa barbatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema glomeratum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema psoraleoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eryngium foetidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erythrina senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erythrina vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethulia conyzoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euadenia trifoliolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eugenia leonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia convolvuloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia forskaolii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia heterophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia heterophylla cyathophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia hirta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia hypericifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia peplus","Euphorbia peplus","Ourlets thérophytiques vernaux, nitrophiles, xérophiles, méso- à subméditerranéens centraux","Cosmopolite","Jaune","Myrmécochore","1-12","Thérophytaie","Capsule","Cyathe","Entomogame","Monoïque"
"Euphorbia prostrata","Euphorbia prostrata","Annuelles eutrophiles des tonsures surpiétinées sabulicoles, subtropicales","Introduit (amér. du nord)","Jaune","Myrmécochore","","Thérophytaie","Capsule","Cyathe","Entomogame","Monoïque"
"Euphorbia scordiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euploca ovalifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euploca strigosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolvulus alsinoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolvulus nummularius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faidherbia albida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Falcataria falcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus exasperata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus mucuso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus simplicissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus sur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus trichopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus variifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus vogeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis","Fimbristylis dichotoma","Annuelles des tonsures hydrophiles inondables, thermophiles, subtropicales","Subtropical","Jaune","Barochore","7-10","Thérophytaie","Akène","Cyme d'épis","Anémogame","Monoïque"
"Fimbristylis dichotoma","Fimbristylis dichotoma","Annuelles des tonsures hydrophiles inondables, thermophiles, subtropicales","Subtropical","Jaune","Barochore","7-10","Thérophytaie","Akène","Cyme d'épis","Anémogame","Monoïque"
"Fimbristylis dichotoma podocarpa","Fimbristylis dichotoma","Annuelles des tonsures hydrophiles inondables, thermophiles, subtropicales","Subtropical","Jaune","Barochore","7-10","Thérophytaie","Akène","Cyme d'épis","Anémogame","Monoïque"
"Fimbristylis ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis scabrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis signata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flagellaria guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fleischmannia microstemon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flueggea virosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Freesia laxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuchsia boliviana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuirena ciliaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuirena stricta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuirena umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria muralis","Fumaria muralis","Annuelles commensales des cultures sarclées acidophiles, mésohydriques, des sols sableux","Européen méridional","","Barochore","","Thérophytaie","Capsule","Racème simple","Autogame","Hermaphrodite"
"Funtumia africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Funtumia elastica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gagnebina pterocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galinsoga parviflora","Galinsoga parviflora","Annuelles commensales des cultures sarclées acidophiles, mésohydriques, des sols sableux","Introduit (amér. du sud)","Blanc, jaune","Anémochore","","Thérophytaie","Akène","Racème de capitules","Entomogame, autogame","Hermaphrodite"
"Galium aparine","Galium aparine","Annuelles pionnières nitrophiles des clairières et lisières européennes, psychrophiles","Eurasiatique méridional","Blanc","Épizoochore","6-10","Thérophytaie","Capsule","Cyme d'ombelles","Entomogame, autogame","Hermaphrodite"
"Gambeya subnuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gamochaeta purpurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garcinia kola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gardenia erubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geophila repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium robertianum","Geranium robertianum","Annuelles pionnières nitrophiles des clairières et lisières européennes, psychrophiles","Holarctique","Rose","Autochore","4-9","Thérophytaie","Capsule","Racème de cymes unipares hélicoïdes","Entomogame, autogame","Hermaphrodite"
"Gisekia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gisekia pharnaceoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladiolus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladiolus dalenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glinus","Glinus lotoides","Annuelles des tonsures mésohygrophiles, basophiles","Eurasiatique","","","","Thérophytaie","","","",""
"Glinus lotoides","Glinus lotoides","Annuelles des tonsures mésohygrophiles, basophiles","Eurasiatique","","","","Thérophytaie","","","",""
"Glinus oppositifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glinus radiatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gliricidia sepium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gloriosa superba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glyphaea brevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gmelina arborea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomphrena celosioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomphrena vermicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gongronemopsis angolensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gonolobus rostratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gossypium barbadense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gouania longipetala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grewia carpinifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grewia mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Griffonia simplicifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grona adscendens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grona barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grona hirta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grona ramosissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grona triflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guilandina bonduc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gymnosporia senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gynandropsis gynandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hackelochloa granularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harrisonia abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harungana madagascariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hediotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedychium coronarium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedychium gardnerianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heisteria parvifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helichrysum luteoalbum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heliconia psittacorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heliotropium","Heliotropium amplexicaule_Heliotropium bacciferum","Friches vivaces mésohydriques, médio-européennes","Introduit (afrique or.)_Introduit (amér. du sud)","Blanc","Barochore","","Hémicryptophytaie","Akène","Racème de cymes unipares scorpioïdes","Entomogame","Hermaphrodite"
"Heliotropium amplexicaule","Heliotropium amplexicaule","Friches vivaces mésohydriques, médio-européennes","Introduit (amér. du sud)","Blanc","Barochore","","Hémicryptophytaie","Akène","Racème de cymes unipares scorpioïdes","Entomogame","Hermaphrodite"
"Heliotropium bacciferum","Heliotropium bacciferum","Friches vivaces mésohydriques, médio-européennes","Introduit (afrique or.)","Blanc","Barochore","","Hémicryptophytaie","Akène","Racème de cymes unipares scorpioïdes","Entomogame","Hermaphrodite"
"Heliotropium indicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heliotropium zeylanicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hermannia tigreensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heteranthera callifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heteropogon","Heteropogon contortus","Pelouses basophiles subdésertiques, xérophiles","Méditerranéen","Marron","Épizoochore","5-11","Hémicryptophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Heteropogon contortus","Heteropogon contortus","Pelouses basophiles subdésertiques, xérophiles","Méditerranéen","Marron","Épizoochore","5-11","Hémicryptophytaie","Caryopse","Panicule d'épillets","Anémogame","Hermaphrodite"
"Heterotis rotundifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hewittia malabarica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hexasepalum sarmentosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hexasepalum scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus caerulescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus cannabinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus diversifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus lobatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus panduriformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus physaloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus sabdariffa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus sidiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus surattensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hildegardia barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippobroma longiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hiptage benghalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Histiopteris incisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holarrhena floribunda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holcus lanatus","Holcus lanatus","Prairies européennes mésotrophiles à eutrophiles","Circumboréal","Rose","Épizoochore","5-8","Hémicryptophytaie","Caryopse","Panicule d'épillets","Anémogame","Androdioïque"
"Holoptelea grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homolepis aturensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hoslundia opposita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houttuynia cordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hybanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrocotyle bonariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrocotyle sibthorpioides","Hydrocotyle sibthorpioides","Hémicryptophytaies des sources laurasiennes","Subtropical","Blanc","Hydrochore","6-9","Hémicryptophytaie","Akène","Racème d'ombelles","Entomogame, autogame","Hermaphrodite"
"Hydrocotyle umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrolea palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hygrophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hygrophila auriculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hymenachne amplexicaulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyparrhenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyparrhenia diplandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyparrhenia rufa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum japonicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypertelis cerviana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypochaeris radicata","Hypochaeris radicata","Pelouses des sables continentaux acidophiles, médio-européennes à méditerranéennes","Européen méridional","Jaune","Anémochore","5-9","Hémicryptophytaie","Akène","Racème de capitules","Entomogame","Hermaphrodite"
"Hypselodelphys violacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyptis atrorubens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyptis brevipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyptis capitata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
