"accepted_taxa","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Digitaria humbertii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria insularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria longiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria radicosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Digitaria sanguinalis","Digitaria sanguinalis",7.6,3.7,NA,5.6,0.3,NA,"Digitaria sanguinalis","2","Local non-specific dispersal",0.3305,0.556999999999999
"Dimetia capitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dinebra perrieri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dinebra retroflexa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diodia rubricosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea alata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea antaly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea bulbifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea cayenensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea dumetorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea minutiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea praehensilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea preussii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea quartiniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea sagittifolia lecardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea smilacifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscorea togoensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dioscoreophyllum volkensii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diospyros mespiliformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diospyros monbuttensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplachne fusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplotaxis tenuifolia","Diplotaxis tenuifolia",7.9,3.6,5.6,6.4,0.3,6.8,"Diplotaxis tenuifolia","2","Local non-specific dispersal",0.45,0.267866666666666
"Discoglypremna caloneura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dissotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dissotis grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distemonanthus benthamianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake aegyptius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake cissoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake dissectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake kentrocaulos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distimake quinquefolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dolichandra unguis-cati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dracaena mannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drimia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drymaria cordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dysphania ambrosioides","Dysphania ambrosioides",8,5.8,6,6.5,0,NA,"Dysphania ambrosioides","2","Local non-specific dispersal",0.6025,0.229366666666666
"Echinochloa callopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa colonum","Echinochloa colonum",7,5.7,8,7.3,0,8.8,NA,NA,NA,NA,NA
"Echinochloa crus-galli","Echinochloa crus-galli",7.1,NA,7.7,7.3,0.3,NA,"Echinochloa crus-galli","6","Epizoochory",0.7,1.77723076923077
"Echinochloa crus-pavonis",NA,NA,NA,NA,NA,NA,NA,"Echinochloa crus-pavonis","6","Epizoochory",NA,NA
"Echinochloa obtusiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa polystachya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa pyramidalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa stagnina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinops mildbraedii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eclipta prostrata",NA,NA,NA,NA,NA,NA,NA,"Eclipta prostrata","5","Anemochory",0.435,0.91
"Ehretia cymosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ehretia trachyphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elaeis guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis complanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis filiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephantopus mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elephantopus scaber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleusine indica","Eleusine indica",8.5,4.8,6.5,6.5,0,9,"Eleusine indica","1","Local non-specific dispersal",0.296666666666667,0.428
"Eleutheranthera ruderalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymandra androphila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytraria marginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elytraria maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia coccinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia fosbergii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia praetermissa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emilia sonchifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enneapogon cenchroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Entada africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enteropogon prieurii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equisetum","Equisetum ramosissimum",7.8,NA,NA,7.3,0.3,NA,"Equisetum ramosissimum","5","Anemochory",0.775,NA
"Equisetum ramosissimum","Equisetum ramosissimum",7.8,NA,NA,7.3,0.3,NA,"Equisetum ramosissimum","5","Anemochory",0.775,NA
"Eragrostis aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis atrovirens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis cilianensis","Eragrostis cilianensis",7.3,3.2,NA,7.3,0.2,8,"Eragrostis cilianensis","1","Local non-specific dispersal",0.23125,0.08
"Eragrostis ciliaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis gangetica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis macilenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis minor","Eragrostis minor",8,3.2,4.7,6.8,0.2,7.2,"Eragrostis minor","1","Local non-specific dispersal",0.219,0.0833333333333333
"Eragrostis pilosa","Eragrostis pilosa",8.3,NA,5.8,6.8,0.2,7.1,"Eragrostis pilosa","1","Local non-specific dispersal",0.192,0.0696666666666666
"Eragrostis squamata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis tenella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis tenuifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis tremula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis turgida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis unioloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrostis viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eragrotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erechtites hieraciifolius","Erechtites hieraciifolius",7.5,5,6.5,6,0,7,"Erechtites hieraciifolius","5","Anemochory",1.1,NA
"Erechtites valerianifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erica galioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erigeron bonariensis","Erigeron bonariensis",7.5,4,7,7,0.5,9,"Erigeron bonariensis","5","Anemochory",0.325,0.0958
"Erigeron floribundus","Erigeron floribundus",8,5,7,6,0,6,"Erigeron floribundus","","Anemochory",NA,NA
"Erigeron karvinskianus","Erigeron karvinskianus",7,3.7,NA,7.3,0,7.7,"Erigeron karvinskianus","5","Anemochory",0.35,0.049818182
"Erigeron sumatrensis","Erigeron sumatrensis",7.7,6,6.7,7,0,NA,"Erigeron sumatrensis","5","Anemochory",1.15,0.0345
"Eriochloa barbatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema glomeratum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriosema psoraleoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eryngium foetidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erythrina senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erythrina vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethulia conyzoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euadenia trifoliolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eugenia leonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia convolvuloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia forskaolii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia heterophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia heterophylla cyathophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia hirta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia hypericifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euphorbia peplus","Euphorbia peplus",6.9,3.9,7.1,6.3,0.1,6.3,"Euphorbia peplus","3","Myrmecochory",0.201944444444445,0.5545
"Euphorbia prostrata","Euphorbia prostrata",7.7,2.5,4.5,6,0.3,9,"Euphorbia prostrata","3","Myrmecochory",0.0825,0.1476
"Euphorbia scordiifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euploca ovalifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euploca strigosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolvulus alsinoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolvulus nummularius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faidherbia albida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Falcataria falcata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus exasperata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus mucuso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus simplicissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus sur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus trichopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus variifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus vogeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis dichotoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis dichotoma podocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis ferruginea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis scabrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fimbristylis signata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flagellaria guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fleischmannia microstemon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flueggea virosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Freesia laxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuchsia boliviana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuirena ciliaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuirena stricta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuirena umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria muralis","Fumaria muralis",7.4,4,6.3,NA,0,6.7,"Fumaria muralis","3","Myrmecochory",0.725,2.84689999999999
"Funtumia africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Funtumia elastica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gagnebina pterocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galinsoga parviflora","Galinsoga parviflora",7.2,5.5,7.8,5.5,0,6,"Galinsoga parviflora","2","Local non-specific dispersal",0.375,0.236761904761904
"Galium aparine","Galium aparine",6.6,NA,7.6,6.3,0.1,5.7,"Galium aparine","2","Local non-specific dispersal",0.981666666666667,9.42016222222222
"Gambeya subnuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gamochaeta purpurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garcinia kola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gardenia erubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geophila repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geranium robertianum","Geranium robertianum",NA,5.5,6.8,6.2,0,NA,"Geranium robertianum","2","Local non-specific dispersal",0.318333333333333,1.59983611111111
"Gisekia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gisekia pharnaceoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladiolus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladiolus dalenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glinus","Glinus lotoides",8.3,6.5,NA,6,1.5,10,"Glinus lotoides","1","Local non-specific dispersal",0.1675,0.05
"Glinus lotoides","Glinus lotoides",8.3,6.5,NA,6,1.5,10,"Glinus lotoides","1","Local non-specific dispersal",0.1675,0.05
"Glinus oppositifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glinus radiatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gliricidia sepium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gloriosa superba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glyphaea brevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gmelina arborea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomphrena celosioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomphrena vermicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gongronemopsis angolensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gonolobus rostratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gossypium barbadense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gouania longipetala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grewia carpinifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grewia mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Griffonia simplicifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grona adscendens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grona barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grona hirta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grona ramosissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grona triflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guilandina bonduc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gymnosporia senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gynandropsis gynandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hackelochloa granularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harrisonia abyssinica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harungana madagascariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hediotis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedychium coronarium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedychium gardnerianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heisteria parvifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helichrysum luteoalbum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heliconia psittacorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heliotropium","Heliotropium amplexicaule",9,3,2,5,0,9,NA,NA,NA,NA,NA
"Heliotropium amplexicaule","Heliotropium amplexicaule",9,3,2,5,0,9,NA,NA,NA,NA,NA
"Heliotropium bacciferum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heliotropium indicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heliotropium zeylanicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hermannia tigreensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heteranthera callifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heteropogon","Heteropogon contortus",9,2.5,3,7.5,0,8.3,"Heteropogon contortus","2","Local non-specific dispersal",0.65,2.6
"Heteropogon contortus","Heteropogon contortus",9,2.5,3,7.5,0,8.3,"Heteropogon contortus","2","Local non-specific dispersal",0.65,2.6
"Heterotis rotundifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hewittia malabarica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hexasepalum sarmentosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hexasepalum scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus caerulescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus cannabinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus diversifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus lobatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus panduriformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus physaloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus sabdariffa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus sidiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hibiscus surattensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hildegardia barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hippobroma longiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hiptage benghalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Histiopteris incisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holarrhena floribunda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Holcus lanatus","Holcus lanatus",7.2,NA,4.7,5.5,0.5,NA,"Holcus lanatus","2","Local non-specific dispersal",0.555,0.389305444444444
"Holoptelea grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homolepis aturensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hoslundia opposita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houttuynia cordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hybanthus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrocotyle bonariensis",NA,NA,NA,NA,NA,NA,NA,"Hydrocotyle bonariensis","1","Local non-specific dispersal",0.125,1.3
"Hydrocotyle sibthorpioides","Hydrocotyle sibthorpioides",9,9,3,4,0,8,NA,NA,NA,NA,NA
"Hydrocotyle umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrolea palustris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hygrophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hygrophila auriculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hymenachne amplexicaulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyparrhenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyparrhenia diplandra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyparrhenia rufa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypericum japonicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hypertelis cerviana","Mollugo cerviana",8.2,NA,7,6,0,NA,"Mollugo cerviana","1","Local non-specific dispersal",0.0916666666666667,0.015
"Hypochaeris radicata","Hypochaeris radicata",8.1,NA,2.8,4.4,0.3,NA,"Hypochaeris radicata","3","Myrmecochory",0.436,0.750755714296296
"Hypselodelphys violacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyptis atrorubens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyptis brevipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyptis capitata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyptis lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Icacina mannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Impatiens trilobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Impatiens walleriana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imperata brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imperata cylindrica","Imperata cylindrica",8.7,6.7,4.7,7.3,1,10,"Imperata cylindrica","2","Local non-specific dispersal",0.6,0.199
"Indigastrum parviflorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera berhautiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera colutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera dendroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera geminata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera hendecaphylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera hirsuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera nummulariifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera polysphaera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera secundiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera spicata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera stenophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indigofera strobilifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
