"accepted_taxa","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023","original_taxa_Baseflor","Habitat_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Growth.form_Baseflor","Fruit.type_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","Sexuality_Baseflor","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass_g_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Growth.form_BIEN","Plant.height_m_BIEN","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube","original_taxa_Hodgson2023","Lifecycle_Hodgson2023","Canopy.diameter_log2_Hodgson2023","Canopy.height_log2_Hodgson2023","SLA.mm2.mg-1_Hodgson2023","Vegetative.propagation_Hodgson2023","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Fruit.colour_GIFT","Growth.form_1_GIFT","Growth.form_2_GIFT","Inflorescence_GIFT","Leaf.length_cm_GIFT","Leaf.area_cm2_GIFT","Leaf.width_cm_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Plant.height_min_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Root.depth_m_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.UV.reflectance_Biolflor","Seed.mass_mg_Biolflor","Seed.length_mm_Biolflor","original_taxa_Groot","Root.lateral.spread_cm.yr-1_Groot","Root.diameter_mm_Groot","Root.C.concentration_Groot","Root.C.N.ratio_Groot","Root.dry.matter_Groot","Root.length.density_cm.cm-3_Groot","Root.mass.fraction_Groot","Root.mycorrhizal.colonization_Groot","Root.N.concentration_Groot","Root.tissue.density_g.cm-3_Groot","Root.depth_m_Groot","Specific.root.length_m.g-1_Groot","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA","original_taxa_Ladouceur2019","Clonal.cyclicity_years_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Clonal.spread_cm.year-1_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_g_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Struchium sparganophorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Struchium sparganophorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Struchium sparganophorum","Hydrochorous",NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,"Annual",NA,1.219214826,0.6,0.304803706,NA,NA,NA,3e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Strychnos spinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strychnos spinosa",NA,NA,NA,NA,NA,NA,NA,"9",NA,"Shrub_tree*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strychnos spinosa","Zoochorous","Endozoochorous",NA,NA,NA,NA,NA,NA,"Tree","Shrub",NA,NA,NA,NA,"Perennial",NA,10,7,1,"Biotic","Insect","Insect",0.377165,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strychnos spinosa",NA,NA,NA,NA,NA,NA,0.4885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stylochaeton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylochaeton hypogeum_Stylochaeton lancifolium",NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,"Annual",NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stylochaeton hypogeum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylochaeton hypogeum",NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stylochaeton lancifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylochaeton lancifolium",NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,"Annual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stylosanthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylosanthes erecta_Stylosanthes guianensis",NA,NA,NA,NA,NA,NA,NA,NA,2.81666666666667,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylosanthes erecta_Stylosanthes guianensis",NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Herb",NA,NA,NA,NA,"Perennial","C3",2,0.609607413,0,NA,NA,NA,0.00280583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylosanthes guianensis",NA,NA,NA,NA,NA,NA,NA,13,11.5,0.196,NA,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stylosanthes erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylosanthes erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylosanthes erecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial",NA,NA,0.609607413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stylosanthes guianensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylosanthes guianensis",NA,NA,NA,NA,NA,NA,NA,NA,2.81666666666667,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylosanthes guianensis",NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Herb",NA,NA,NA,NA,"Perennial","C3",2,NA,0,NA,NA,NA,0.00280583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stylosanthes guianensis",NA,NA,NA,NA,NA,NA,NA,13,11.5,0.196,NA,3.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Symphyotrichum squamatum","Symphyotrichum squamatum",8,7,7.5,7.5,1,9,"Symphyotrichum squamatum","5","Anemochory",0.8075,NA,"Symphyotrichum squamatum","Mégaphorbiaies eutrophisées, planitiaires, méditerranéennes","Introduit (amér. du nord)","Bleu, jaune","Anémochore",NA,"Hémicryptophytaie","Akène","Racème de capitules","Entomogame, autogame","Hermaphrodite","Symphyotrichum squamatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Synedrella nodiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synedrella nodiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synedrella nodiflora","Zoochorous",NA,"Yellow",NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,"Annual",NA,1.5,1,0,NA,NA,NA,0.000635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syzygium samarangense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syzygium samarangense",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Syzygium samarangense",NA,NA,NA,NA,NA,NA,NA,NA,"Tree","Tree",NA,16,NA,6.5,"Perennial","C3",15,12,5,"Biotic","Insect","Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tabebuia pallida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tabebuia pallida",NA,NA,NA,NA,NA,NA,NA,NA,"Tree","Tree",NA,NA,NA,NA,NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tacca leontopetaloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tacca leontopetaloides",NA,NA,NA,NA,NA,NA,NA,NA,14.9,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tacca leontopetaloides","Hydrochorous","Hydrochorous",NA,NA,NA,NA,NA,NA,"Herb","Forb",NA,NA,NA,NA,"Perennial","C3",1,1.25,0.2,NA,NA,NA,0.01642375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tagetes",NA,NA,NA,NA,NA,NA,NA,"Tagetes erecta","3","Myrmecochory",0.59875,3.39,"Tagetes patula","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Introduit (amér. du sud)",NA,"Anémochore",NA,"Thérophytaie","Akène","Racème de capitules","Entomogame, autogame","Hermaphrodite","Tagetes erecta",NA,NA,NA,NA,NA,NA,NA,NA,3.695,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tagetes erecta",NA,NA,NA,NA,NA,5,4.5,NA,"Herb","Forb",NA,NA,NA,NA,"Annual","C3",1.5,0.55,0.1,"Biotic","Insect","Insect",0.0031583335,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tagetes erecta",NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,"""tagetes patula l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tagetes erecta",NA,NA,NA,NA,NA,NA,NA,"Tagetes erecta","3","Myrmecochory",0.59875,3.39,"Tagetes patula","Friches annuelles, nitrophiles, thermophiles, euryméditerranéennes","Introduit (amér. du sud)",NA,"Anémochore",NA,"Thérophytaie","Akène","Racème de capitules","Entomogame, autogame","Hermaphrodite","Tagetes erecta",NA,NA,NA,NA,NA,NA,NA,NA,3.695,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tagetes erecta",NA,NA,NA,NA,NA,5,4.5,NA,"Herb","Forb",NA,NA,NA,NA,"Annual","C3",1.5,0.55,0.1,"Biotic","Insect","Insect",0.0031583335,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tagetes erecta",NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,"""tagetes patula l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Talinum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Talinum fruticosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Talinum fruticosum",NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Subshrub",NA,NA,NA,NA,"Perennial",NA,NA,0.5,NA,NA,NA,NA,0.00017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Talinum fruticosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Talinum fruticosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Talinum fruticosum",NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Subshrub",NA,NA,NA,NA,"Perennial",NA,NA,0.5,NA,NA,NA,NA,0.00017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tamarindus indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tamarindus indica","Yellow",NA,NA,NA,NA,NA,NA,"11",724.632,"Tree",8.00501052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tamarindus indica",NA,NA,NA,NA,NA,NA,NA,NA,"Tree","Tree",NA,NA,NA,NA,"Perennial","C3",25,16.6666666666667,5,"Biotic","Insect","Insect",0.903817143,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tamarindus indica",NA,0.313233333,438.7056096,NA,NA,NA,NA,NA,9.647481839,0.667071995,NA,9.693172709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tamarix senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tamarix senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,"Shrub",NA,NA,NA,NA,NA,"Perennial",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taraxacum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taraxacum  sect. naevosa m. p. christ._Taraxacum  sect. ruderalia kirschner, h. ollg. & stepanek","Exposed",10.1,0.558857,"Fruit","Non-fleshy fruit",0.95,1,0.31,NA,NA,NA,NA,NA,NA,"Taraxacum sect.","Anemochorous","Anemochorous",NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,5.5,"Perennial","C3",0.6,0.15,0.01,"Biotic","Insect",NA,0.000557181666666667,290.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tarenaya aculeata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cleome aculeata",NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,NA,NA,0.609607413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tectona grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tectona grandis",NA,NA,NA,NA,NA,NA,13.2,NA,696.373333333333,"Tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tectona grandis","Unspecialized",NA,NA,NA,NA,NA,NA,NA,"Tree","Tree",NA,NA,NA,NA,"Perennial","C3",NA,30,NA,"Biotic","Insect",NA,0.696373333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tectona grandis",NA,NA,470,NA,NA,NA,0.2625,62.15,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Telosma africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Telosma africana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial",NA,3,4.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tephrosia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephrosia bracteolata_Tephrosia purpurea_Tephrosia vogelii",NA,NA,NA,NA,NA,NA,NA,NA,29.3675,"Herb_herb*_shrub_Herb_shrub_Shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephrosia bracteolata_Tephrosia elegans_Tephrosia flexuosa_Tephrosia linearis_Tephrosia noctiflora_Tephrosia pedicellata_Tephrosia platycarpa_Tephrosia purpurea_Tephrosia vogelii","Autochorous_Zoochorous","Autochorous",NA,NA,NA,NA,NA,NA,"Herb_Shrub","Forb_Herb_Shrub_Subshrub",NA,NA,NA,NA,"Annual_Perennial","C3",3.167413048625,1.3,0.600748725,"Biotic","Insect","Bee",0.0121755207916667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephrosia purpurea",NA,NA,NA,NA,NA,NA,NA,76.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tephrosia bracteolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephrosia bracteolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Herb_shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephrosia bracteolata",NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Shrub",NA,NA,NA,NA,NA,"C3",2.438429651,NA,0.609607413,NA,NA,NA,0.0069825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tephrosia elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephrosia elegans",NA,NA,NA,NA,NA,NA,NA,NA,"Herb","Herb",NA,NA,NA,NA,NA,"C3",1.524018532,NA,0.609607413,NA,NA,NA,0.0122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tephrosia flexuosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephrosia flexuosa",NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,NA,NA,1.524018532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tephrosia linearis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephrosia linearis","Autochorous","Autochorous",NA,NA,NA,NA,NA,NA,"Herb","Herb",NA,NA,NA,NA,"Annual","C3",6,0.6,0.304803706,NA,NA,NA,0.00291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tephrosia noctiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephrosia noctiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forb",NA,NA,NA,NA,"Perennial","C3",7.5,1.5,0.6,NA,NA,NA,0.00994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tephrosia pedicellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tephrosia pedicellata",NA,NA,NA,NA,NA,NA,NA,NA,"Herb",NA,NA,NA,NA,NA,"Perennial","C3",NA,NA,NA,NA,NA,NA,0.00343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
